* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2023 9:32:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CRA S2 L
* Smoothing: 1/3 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 85.066 -166.1476
20.299999 85.042 -166.4337
20.600000 85.020 -166.7534
20.900000 84.999 -167.1033
21.200001 84.981 -167.4796
21.400000 84.970 -167.7431
21.799999 84.951 -168.2970
22.000000 84.943 -168.5856
22.400000 84.929 -169.1823
22.700001 84.921 -169.6448
23.000000 84.914 -170.1177
23.299999 84.908 -170.5995
23.600000 84.901 -171.0880
24.000000 84.891 -171.7467
24.299999 84.883 -172.2430
24.700001 84.870 -172.9035
25.000000 84.859 -173.3947
25.400000 84.841 -174.0398
25.799999 84.820 -174.6696
26.200001 84.797 -175.2814
26.500000 84.779 -175.7278
26.900000 84.753 -176.3069
27.200001 84.734 -176.7300
27.600000 84.707 -177.2809
28.000000 84.680 -177.8187
28.500000 84.647 -178.4755
29.000000 84.613 -179.1169
29.500000 84.580 -179.7445
30.000000 84.547 179.6413
30.400000 84.521 179.1589
30.700001 84.502 178.8022
31.100000 84.477 178.3328
31.500000 84.452 177.8702
32.000000 84.422 177.3011
32.500000 84.392 176.7424
33.000000 84.362 176.1942
33.500000 84.333 175.6571
34.000000 84.304 175.1315
34.500000 84.274 174.6172
35.000000 84.245 174.1147
35.500000 84.215 173.6237
36.000000 84.185 173.1436
36.500000 84.155 172.6741
37.000000 84.125 172.2145
37.500000 84.094 171.7645
38.200001 84.050 171.1503
38.700001 84.018 170.7227
39.500000 83.966 170.0576
40.000000 83.933 169.6536
40.599998 83.893 169.1802
41.200001 83.853 168.7181
41.799999 83.813 168.2664
42.500000 83.767 167.7513
43.099998 83.727 167.3188
43.700001 83.688 166.8942
44.400002 83.642 166.4083
45.000000 83.602 166.0001
45.500000 83.569 165.6656
46.200001 83.523 165.2064
46.799999 83.484 164.8212
47.500000 83.438 164.3816
48.200001 83.392 163.9525
48.700001 83.360 163.6522
49.400002 83.314 163.2408
50.000000 83.276 162.8962
50.799999 83.224 162.4486
51.500000 83.180 162.0678
52.200001 83.135 161.6970
53.000000 83.085 161.2850
53.799999 83.034 160.8851
54.500000 82.990 160.5447
55.200001 82.946 160.2130
56.000000 82.895 159.8442
57.000000 82.832 159.3986
58.000000 82.768 158.9695
59.000000 82.703 158.5565
60.000000 82.639 158.1584
60.799999 82.587 157.8500
61.500000 82.542 157.5871
62.200001 82.498 157.3304
63.000000 82.447 157.0445
64.000000 82.384 156.6978
65.000000 82.321 156.3627
66.000000 82.259 156.0393
67.000000 82.198 155.7274
68.000000 82.137 155.4269
69.000000 82.077 155.1377
70.000000 82.018 154.8597
71.000000 81.958 154.5925
72.000000 81.899 154.3357
73.000000 81.841 154.0890
74.000000 81.783 153.8519
75.000000 81.724 153.6242
76.199997 81.655 153.3627
77.500000 81.579 153.0939
78.800003 81.502 152.8406
80.000000 81.431 152.6212
81.199997 81.360 152.4169
82.500000 81.282 152.2137
83.800003 81.204 152.0306
85.000000 81.132 151.8806
86.199997 81.060 151.7498
87.500000 80.984 151.6307
88.500000 80.925 151.5552
90.000000 80.840 151.4679
91.199997 80.774 151.4190
92.500000 80.706 151.3844
93.800003 80.641 151.3649
95.000000 80.585 151.3560
96.199997 80.532 151.3511
97.500000 80.479 151.3453
98.800003 80.429 151.3340
100.000000 80.387 151.3152
101.500000 80.336 151.2770
103.000000 80.288 151.2207
104.400002 80.245 151.1520
106.000000 80.195 151.0563
107.500000 80.149 150.9531
109.000000 80.101 150.8403
110.599998 80.048 150.7142
112.000000 80.001 150.6024
113.800003 79.938 150.4615
115.000000 79.894 150.3717
117.199997 79.813 150.2200
118.000000 79.782 150.1699
120.599998 79.682 150.0265
122.000000 79.628 149.9617
124.099998 79.545 149.8798
125.000000 79.510 149.8500
126.500000 79.450 149.8068
128.000000 79.391 149.7716
131.500000 79.252 149.7223
132.000000 79.232 149.7195
134.000000 79.152 149.7203
136.000000 79.072 149.7432
138.000000 78.992 149.7907
140.000000 78.913 149.8647
143.000000 78.797 150.0247
145.000000 78.724 150.1608
147.500000 78.636 150.3570
150.000000 78.555 150.5723
152.500000 78.480 150.7966
155.000000 78.410 151.0208
157.500000 78.345 151.2392
160.000000 78.284 151.4487
162.500000 78.225 151.6492
165.000000 78.168 151.8424
167.500000 78.113 152.0309
170.000000 78.059 152.2174
172.500000 78.006 152.4042
175.000000 77.954 152.5927
177.500000 77.903 152.7835
180.000000 77.854 152.9760
182.500000 77.807 153.1689
185.000000 77.762 153.3604
187.500000 77.719 153.5481
190.000000 77.678 153.7297
192.500000 77.638 153.9035
195.000000 77.600 154.0682
197.500000 77.563 154.2236
200.000000 77.525 154.3700
203.000000 77.481 154.5353
206.000000 77.436 154.6921
209.000000 77.391 154.8432
212.000000 77.344 154.9919
214.000000 77.312 155.0911
218.000000 77.248 155.2928
220.000000 77.215 155.3965
224.000000 77.148 155.6121
227.000000 77.097 155.7820
230.000000 77.046 155.9598
233.000000 76.995 156.1460
236.000000 76.944 156.3407
240.000000 76.876 156.6136
243.000000 76.826 156.8282
247.000000 76.760 157.1274
250.000000 76.711 157.3611
254.000000 76.648 157.6847
258.000000 76.586 158.0210
262.000000 76.526 158.3688
265.000000 76.482 158.6364
269.000000 76.426 159.0007
272.000000 76.385 159.2789
276.000000 76.333 159.6554
280.000000 76.283 160.0370
285.000000 76.223 160.5195
290.000000 76.168 161.0060
295.000000 76.116 161.4945
300.000000 76.067 161.9825
304.000000 76.030 162.3706
307.000000 76.004 162.6596
311.000000 75.971 163.0409
315.000000 75.940 163.4167
320.000000 75.903 163.8774
325.000000 75.868 164.3273
330.000000 75.834 164.7663
335.000000 75.801 165.1960
340.000000 75.769 165.6179
345.000000 75.737 166.0346
350.000000 75.704 166.4481
355.000000 75.672 166.8608
360.000000 75.640 167.2745
365.000000 75.608 167.6906
370.000000 75.577 168.1100
375.000000 75.546 168.5330
382.000000 75.504 169.1313
387.000000 75.476 169.5624
395.000000 75.433 170.2563
400.000000 75.408 170.6913
406.000000 75.380 171.2126
412.000000 75.354 171.7319
418.000000 75.330 172.2476
425.000000 75.304 172.8431
431.000000 75.283 173.3474
437.000000 75.263 173.8454
444.000000 75.242 174.4186
450.000000 75.224 174.9037
455.000000 75.210 175.3040
462.000000 75.190 175.8594
468.000000 75.174 176.3323
475.000000 75.155 176.8820
482.000000 75.136 177.4311
487.000000 75.122 177.8240
494.000000 75.104 178.3758
500.000000 75.089 178.8510
508.000000 75.070 179.4883
515.000000 75.054 -179.9508
522.000000 75.039 -179.3868
530.000000 75.023 -178.7393
538.000000 75.009 -178.0891
545.000000 74.998 -177.5186
552.000000 74.988 -176.9473
560.000000 74.979 -176.2936
570.000000 74.969 -175.4767
580.000000 74.962 -174.6606
590.000000 74.958 -173.8460
600.000000 74.955 -173.0332
608.000000 74.955 -172.3843
615.000000 74.957 -171.8176
622.000000 74.959 -171.2520
630.000000 74.963 -170.6068
640.000000 74.970 -169.8023
650.000000 74.979 -169.0001
660.000000 74.990 -168.2002
670.000000 75.003 -167.4027
680.000000 75.018 -166.6077
690.000000 75.036 -165.8152
700.000000 75.055 -165.0251
710.000000 75.077 -164.2377
720.000000 75.100 -163.4526
730.000000 75.126 -162.6700
740.000000 75.154 -161.8898
750.000000 75.184 -161.1121
762.000000 75.223 -160.1822
775.000000 75.270 -159.1793
788.000000 75.321 -158.1819
800.000000 75.372 -157.2672
812.000000 75.427 -156.3594
825.000000 75.491 -155.3856
838.000000 75.560 -154.4238
850.000000 75.628 -153.5490
862.000000 75.700 -152.6889
875.000000 75.782 -151.7770
885.000000 75.848 -151.0920
900.000000 75.952 -150.0950
912.000000 76.037 -149.3262
925.000000 76.132 -148.5238
938.000000 76.229 -147.7538
950.000000 76.319 -147.0713
962.000000 76.410 -146.4147
975.000000 76.509 -145.7312
988.000000 76.608 -145.0745
1000.000000 76.699 -144.4905
1015.000000 76.813 -143.7881
1030.000000 76.926 -143.1144
1044.000000 77.033 -142.5096
1060.000000 77.154 -141.8455
1075.000000 77.267 -141.2481
1090.000000 77.381 -140.6743
1106.000000 77.502 -140.0878
1120.000000 77.607 -139.5957
1138.000000 77.742 -138.9916
1150.000000 77.832 -138.6064
1172.000000 77.996 -137.9352
1180.000000 78.056 -137.7021
1206.000000 78.248 -136.9834
1220.000000 78.350 -136.6199
1241.000000 78.502 -136.1035
1250.000000 78.567 -135.8924
1265.000000 78.675 -135.5533
1280.000000 78.782 -135.2299
1315.000000 79.028 -134.5309
1320.000000 79.063 -134.4371
1340.000000 79.202 -134.0762
1360.000000 79.341 -133.7374
1380.000000 79.478 -133.4198
1400.000000 79.615 -133.1229
1430.000000 79.819 -132.7156
1450.000000 79.955 -132.4694
1475.000000 80.125 -132.1906
1500.000000 80.294 -131.9443
1525.000000 80.463 -131.7323
1550.000000 80.633 -131.5558
1575.000000 80.802 -131.4168
1600.000000 80.971 -131.3173
1625.000000 81.139 -131.2593
1650.000000 81.307 -131.2452
1675.000000 81.475 -131.2775
1700.000000 81.641 -131.3585
1725.000000 81.807 -131.4905
1750.000000 81.970 -131.6757
1775.000000 82.131 -131.9164
1800.000000 82.289 -132.2142
1825.000000 82.444 -132.5709
1850.000000 82.595 -132.9875
1875.000000 82.742 -133.4651
1900.000000 82.883 -134.0038
1925.000000 83.019 -134.6034
1950.000000 83.148 -135.2629
1975.000000 83.270 -135.9807
2000.000000 83.384 -136.7542
2030.000000 83.510 -137.7512
2060.000000 83.623 -138.8167
2090.000000 83.723 -139.9412
2120.000000 83.808 -141.1146
2140.000000 83.856 -141.9182
2180.000000 83.934 -143.5596
2200.000000 83.963 -144.3896
2240.000000 84.002 -146.0491
2270.000000 84.016 -147.2781
2300.000000 84.016 -148.4803
2330.000000 84.004 -149.6453
2360.000000 83.981 -150.7634
2400.000000 83.935 -152.1682
2430.000000 83.892 -153.1499
2470.000000 83.823 -154.3553
2500.000000 83.765 -155.1791
2540.000000 83.682 -156.1692
2580.000000 83.594 -157.0374
2620.000000 83.504 -157.7878
2650.000000 83.437 -158.2767
2690.000000 83.349 -158.8355
2720.000000 83.284 -159.1883
2760.000000 83.202 -159.5757
2800.000000 83.124 -159.8745
2850.000000 83.037 -160.1329
2900.000000 82.962 -160.2760
2950.000000 82.901 -160.3174
3000.000000 82.857 -160.2731
3040.000000 82.836 -160.1876
3070.000000 82.828 -160.1007
3110.000000 82.829 -159.9631
3150.000000 82.844 -159.8104
3200.000000 82.882 -159.6150
3250.000000 82.941 -159.4342
3300.000000 83.020 -159.2879
3350.000000 83.119 -159.1950
3400.000000 83.235 -159.1731
3450.000000 83.367 -159.2388
3500.000000 83.512 -159.4079
3550.000000 83.668 -159.6958
3600.000000 83.831 -160.1168
3650.000000 84.000 -160.6844
3700.000000 84.171 -161.4103
3750.000000 84.340 -162.3043
3820.000000 84.568 -163.8520
3870.000000 84.721 -165.1746
3950.000000 84.939 -167.6663
4000.000000 85.055 -169.4514
4060.000000 85.169 -171.8097
4120.000000 85.251 -174.3809
4180.000000 85.297 -177.1325
4250.000000 85.303 179.4845
4310.000000 85.264 176.4935
4370.000000 85.182 173.4773
4440.000000 85.030 170.0070
4500.000000 84.854 167.1437
4550.000000 84.674 164.8809
4620.000000 84.375 161.9629
4680.000000 84.077 159.7431
4750.000000 83.686 157.5316
4820.000000 83.253 155.7638
4870.000000 82.922 154.7845
4940.000000 82.433 153.8138
5000.000000 81.995 153.3464
5080.000000 81.391 153.2217
5150.000000 80.853 153.5446
5220.000000 80.312 154.2294
5300.000000 79.699 155.3999
5380.000000 79.100 156.9218
5450.000000 78.592 158.4930
5520.000000 78.105 160.2492
5600.000000 77.578 162.4431
5700.000000 76.970 165.4139
5800.000000 76.422 168.5943
5900.000000 75.939 171.9535
6000.000000 75.526 175.4667
