* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2023 9:33:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CRA S2 R
* Smoothing: 1/3 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 86.182 -40.9506
20.299999 86.193 -42.6754
20.600000 86.199 -44.3676
20.900000 86.202 -46.0281
21.200001 86.200 -47.6577
21.400000 86.198 -48.7275
21.799999 86.189 -50.8284
22.000000 86.183 -51.8602
22.400000 86.169 -53.8879
22.700001 86.156 -55.3784
23.000000 86.142 -56.8441
23.299999 86.126 -58.2852
23.600000 86.109 -59.7023
24.000000 86.085 -61.5545
24.299999 86.066 -62.9160
24.700001 86.039 -64.6947
25.000000 86.017 -66.0015
25.400000 85.987 -67.7084
25.799999 85.956 -69.3756
26.200001 85.924 -71.0044
26.500000 85.899 -72.2015
26.900000 85.866 -73.7664
27.200001 85.841 -74.9174
27.600000 85.807 -76.4235
28.000000 85.773 -77.8983
28.500000 85.731 -79.7001
29.000000 85.689 -81.4579
29.500000 85.647 -83.1735
30.000000 85.606 -84.8479
30.400000 85.573 -86.1588
30.700001 85.549 -87.1257
31.100000 85.517 -88.3938
31.500000 85.485 -89.6386
32.000000 85.446 -91.1630
32.500000 85.408 -92.6537
33.000000 85.371 -94.1124
33.500000 85.334 -95.5400
34.000000 85.297 -96.9376
34.500000 85.260 -98.3060
35.000000 85.223 -99.6459
35.500000 85.186 -100.9578
36.000000 85.148 -102.2426
36.500000 85.111 -103.5005
37.000000 85.073 -104.7325
37.500000 85.035 -105.9390
38.200001 84.981 -107.5859
38.700001 84.942 -108.7329
39.500000 84.879 -110.5182
40.000000 84.840 -111.6036
40.599998 84.793 -112.8762
41.200001 84.745 -114.1177
41.799999 84.698 -115.3292
42.500000 84.643 -116.7067
43.099998 84.595 -117.8583
43.700001 84.548 -118.9844
44.400002 84.494 -120.2677
45.000000 84.447 -121.3429
45.500000 84.408 -122.2223
46.200001 84.355 -123.4292
46.799999 84.309 -124.4421
47.500000 84.255 -125.5997
48.200001 84.202 -126.7320
48.700001 84.164 -127.5258
49.400002 84.111 -128.6163
50.000000 84.065 -129.5322
50.799999 84.004 -130.7266
51.500000 83.951 -131.7466
52.200001 83.897 -132.7433
53.000000 83.836 -133.8542
53.799999 83.774 -134.9355
54.500000 83.720 -135.8580
55.200001 83.666 -136.7591
56.000000 83.604 -137.7637
57.000000 83.527 -138.9835
58.000000 83.450 -140.1655
59.000000 83.373 -141.3113
60.000000 83.296 -142.4227
60.799999 83.234 -143.2879
61.500000 83.179 -144.0278
62.200001 83.125 -144.7520
63.000000 83.062 -145.5608
64.000000 82.984 -146.5437
65.000000 82.905 -147.4956
66.000000 82.826 -148.4170
67.000000 82.747 -149.3082
68.000000 82.668 -150.1700
69.000000 82.589 -151.0029
70.000000 82.511 -151.8073
71.000000 82.434 -152.5842
72.000000 82.358 -153.3351
73.000000 82.283 -154.0616
74.000000 82.209 -154.7661
75.000000 82.137 -155.4511
76.199997 82.052 -156.2513
77.500000 81.963 -157.0956
78.800003 81.875 -157.9204
80.000000 81.796 -158.6665
81.199997 81.718 -159.3985
82.500000 81.635 -160.1749
83.800003 81.552 -160.9326
85.000000 81.476 -161.6138
86.199997 81.401 -162.2761
87.500000 81.320 -162.9713
88.500000 81.259 -163.4899
90.000000 81.167 -164.2416
91.199997 81.095 -164.8210
92.500000 81.019 -165.4282
93.800003 80.943 -166.0157
95.000000 80.875 -166.5422
96.199997 80.809 -167.0549
97.500000 80.737 -167.5964
98.800003 80.668 -168.1247
100.000000 80.604 -168.6013
101.500000 80.526 -169.1827
103.000000 80.449 -169.7484
104.400002 80.378 -170.2619
106.000000 80.297 -170.8312
107.500000 80.222 -171.3475
109.000000 80.147 -171.8466
110.599998 80.069 -172.3598
112.000000 80.001 -172.7927
113.800003 79.914 -173.3278
115.000000 79.857 -173.6716
117.199997 79.755 -174.2767
118.000000 79.718 -174.4891
120.599998 79.601 -175.1539
122.000000 79.540 -175.4969
124.099998 79.449 -175.9930
125.000000 79.410 -176.1991
126.500000 79.347 -176.5341
128.000000 79.283 -176.8582
131.500000 79.137 -177.5689
132.000000 79.117 -177.6648
134.000000 79.034 -178.0334
136.000000 78.951 -178.3760
138.000000 78.869 -178.6904
140.000000 78.788 -178.9745
143.000000 78.669 -179.3412
145.000000 78.592 -179.5454
147.500000 78.500 -179.7564
150.000000 78.414 -179.9222
152.500000 78.334 179.9498
155.000000 78.263 179.8500
157.500000 78.201 179.7656
160.000000 78.148 179.6827
162.500000 78.104 179.5878
165.000000 78.068 179.4685
167.500000 78.038 179.3159
170.000000 78.011 179.1248
172.500000 77.987 178.8946
175.000000 77.963 178.6281
177.500000 77.937 178.3307
180.000000 77.909 178.0100
182.500000 77.878 177.6741
185.000000 77.842 177.3305
187.500000 77.803 176.9866
190.000000 77.761 176.6482
192.500000 77.716 176.3198
195.000000 77.667 176.0050
197.500000 77.617 175.7060
200.000000 77.565 175.4241
203.000000 77.501 175.1096
206.000000 77.435 174.8209
209.000000 77.369 174.5574
212.000000 77.303 174.3177
214.000000 77.259 174.1706
218.000000 77.172 173.9045
220.000000 77.128 173.7846
224.000000 77.043 173.5691
227.000000 76.980 173.4271
230.000000 76.918 173.3006
233.000000 76.857 173.1884
236.000000 76.798 173.0893
240.000000 76.720 172.9765
243.000000 76.663 172.9052
247.000000 76.590 172.8261
250.000000 76.536 172.7780
254.000000 76.466 172.7276
258.000000 76.398 172.6915
262.000000 76.332 172.6685
265.000000 76.285 172.6591
269.000000 76.222 172.6561
272.000000 76.177 172.6605
276.000000 76.119 172.6746
280.000000 76.062 172.6970
285.000000 75.993 172.7357
290.000000 75.928 172.7849
295.000000 75.865 172.8430
300.000000 75.804 172.9092
304.000000 75.757 172.9672
307.000000 75.723 173.0133
311.000000 75.679 173.0781
315.000000 75.635 173.1465
320.000000 75.583 173.2371
325.000000 75.532 173.3330
330.000000 75.482 173.4344
335.000000 75.434 173.5413
340.000000 75.388 173.6537
345.000000 75.342 173.7717
350.000000 75.298 173.8952
355.000000 75.256 174.0242
360.000000 75.214 174.1586
365.000000 75.174 174.2981
370.000000 75.135 174.4427
375.000000 75.097 174.5923
382.000000 75.046 174.8097
387.000000 75.011 174.9706
395.000000 74.957 175.2372
400.000000 74.925 175.4094
406.000000 74.888 175.6215
412.000000 74.852 175.8391
418.000000 74.819 176.0619
425.000000 74.781 176.3278
431.000000 74.751 176.5604
437.000000 74.722 176.7966
444.000000 74.691 177.0762
450.000000 74.666 177.3187
455.000000 74.646 177.5221
462.000000 74.620 177.8088
468.000000 74.599 178.0555
475.000000 74.576 178.3444
482.000000 74.555 178.6337
487.000000 74.541 178.8405
494.000000 74.523 179.1302
500.000000 74.508 179.3788
508.000000 74.489 179.7109
515.000000 74.474 -179.9974
522.000000 74.460 -179.7042
530.000000 74.445 -179.3666
538.000000 74.431 -179.0250
545.000000 74.419 -178.7222
552.000000 74.408 -178.4147
560.000000 74.397 -178.0566
570.000000 74.385 -177.5983
580.000000 74.376 -177.1279
590.000000 74.369 -176.6464
600.000000 74.366 -176.1563
608.000000 74.366 -175.7596
615.000000 74.368 -175.4102
622.000000 74.371 -175.0593
630.000000 74.377 -174.6571
640.000000 74.387 -174.1534
650.000000 74.400 -173.6494
660.000000 74.416 -173.1457
670.000000 74.436 -172.6427
680.000000 74.458 -172.1411
690.000000 74.482 -171.6415
700.000000 74.510 -171.1449
710.000000 74.541 -170.6521
720.000000 74.574 -170.1642
730.000000 74.610 -169.6825
740.000000 74.649 -169.2079
750.000000 74.690 -168.7415
762.000000 74.742 -168.1939
775.000000 74.802 -167.6165
788.000000 74.864 -167.0562
800.000000 74.924 -166.5539
812.000000 74.985 -166.0650
825.000000 75.052 -165.5489
838.000000 75.120 -165.0447
850.000000 75.184 -164.5878
862.000000 75.249 -164.1372
875.000000 75.320 -163.6547
885.000000 75.375 -163.2865
900.000000 75.459 -162.7383
912.000000 75.528 -162.3027
925.000000 75.604 -161.8334
938.000000 75.681 -161.3668
950.000000 75.754 -160.9384
962.000000 75.828 -160.5120
975.000000 75.910 -160.0525
988.000000 75.994 -159.5953
1000.000000 76.073 -159.1753
1015.000000 76.174 -158.6529
1030.000000 76.278 -158.1333
1044.000000 76.378 -157.6509
1060.000000 76.495 -157.1026
1075.000000 76.608 -156.5915
1090.000000 76.725 -156.0833
1106.000000 76.853 -155.5448
1120.000000 76.968 -155.0767
1138.000000 77.119 -154.4794
1150.000000 77.222 -154.0844
1172.000000 77.415 -153.3668
1180.000000 77.486 -153.1083
1206.000000 77.721 -152.2775
1220.000000 77.849 -151.8365
1241.000000 78.042 -151.1841
1250.000000 78.126 -150.9080
1265.000000 78.265 -150.4528
1280.000000 78.405 -150.0040
1315.000000 78.733 -148.9841
1320.000000 78.779 -148.8417
1340.000000 78.967 -148.2809
1360.000000 79.155 -147.7345
1380.000000 79.344 -147.2038
1400.000000 79.533 -146.6896
1430.000000 79.818 -145.9513
1450.000000 80.009 -145.4827
1475.000000 80.250 -144.9254
1500.000000 80.492 -144.4017
1525.000000 80.738 -143.9142
1550.000000 80.985 -143.4651
1575.000000 81.236 -143.0573
1600.000000 81.489 -142.6934
1625.000000 81.745 -142.3764
1650.000000 82.003 -142.1095
1675.000000 82.264 -141.8956
1700.000000 82.527 -141.7383
1725.000000 82.792 -141.6406
1750.000000 83.059 -141.6063
1775.000000 83.326 -141.6385
1800.000000 83.593 -141.7408
1825.000000 83.860 -141.9163
1850.000000 84.126 -142.1681
1875.000000 84.390 -142.4990
1900.000000 84.651 -142.9116
1925.000000 84.908 -143.4078
1950.000000 85.161 -143.9893
1975.000000 85.407 -144.6570
2000.000000 85.647 -145.4109
2030.000000 85.925 -146.4288
2060.000000 86.189 -147.5679
2090.000000 86.439 -148.8237
2120.000000 86.674 -150.1903
2140.000000 86.820 -151.1588
2180.000000 87.089 -153.2213
2200.000000 87.211 -154.3085
2240.000000 87.429 -156.5767
2270.000000 87.569 -158.3434
2300.000000 87.688 -160.1505
2330.000000 87.787 -161.9821
2360.000000 87.866 -163.8232
2400.000000 87.940 -166.2658
2430.000000 87.973 -168.0693
2470.000000 87.989 -170.4090
2500.000000 87.981 -172.0986
2540.000000 87.947 -174.2433
2580.000000 87.887 -176.2449
2620.000000 87.806 -178.0871
2650.000000 87.733 -179.3575
2690.000000 87.622 179.1016
2720.000000 87.530 178.0616
2760.000000 87.399 176.8279
2800.000000 87.262 175.7643
2850.000000 87.084 174.6628
2900.000000 86.904 173.7975
2950.000000 86.725 173.1477
3000.000000 86.552 172.6912
3040.000000 86.419 172.4496
3070.000000 86.323 172.3325
3110.000000 86.203 172.2522
3150.000000 86.090 172.2469
3200.000000 85.963 172.3275
3250.000000 85.852 172.4824
3300.000000 85.759 172.6884
3350.000000 85.684 172.9230
3400.000000 85.627 173.1643
3450.000000 85.590 173.3915
3500.000000 85.570 173.5846
3550.000000 85.568 173.7247
3600.000000 85.582 173.7942
3650.000000 85.610 173.7767
3700.000000 85.651 173.6573
3750.000000 85.701 173.4231
3820.000000 85.783 172.8807
3870.000000 85.846 172.3276
3950.000000 85.947 171.1380
4000.000000 86.006 170.1989
4060.000000 86.067 168.8735
4120.000000 86.114 167.3386
4180.000000 86.142 165.6089
4250.000000 86.144 163.3757
4310.000000 86.116 161.3136
4370.000000 86.057 159.1572
4440.000000 85.947 156.5835
4500.000000 85.815 154.3851
4550.000000 85.678 152.5974
4620.000000 85.446 150.2200
4680.000000 85.211 148.3478
4750.000000 84.898 146.4116
4820.000000 84.547 144.7892
4870.000000 84.275 143.8424
4940.000000 83.870 142.8312
5000.000000 83.504 142.2634
5080.000000 82.996 141.9351
5150.000000 82.540 142.0391
5220.000000 82.078 142.4901
5300.000000 81.552 143.4012
5380.000000 81.038 144.6978
5450.000000 80.603 146.1161
