* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2023 9:32:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CRA S2 L
* Smoothing: 1/3 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 85.825 -46.1345
20.299999 85.830 -47.7905
20.600000 85.830 -49.4127
20.900000 85.826 -51.0012
21.200001 85.818 -52.5565
21.400000 85.811 -53.5753
21.799999 85.795 -55.5714
22.000000 85.786 -56.5497
22.400000 85.765 -58.4690
22.700001 85.748 -59.8782
23.000000 85.731 -61.2634
23.299999 85.713 -62.6264
23.600000 85.694 -63.9683
24.000000 85.668 -65.7261
24.299999 85.647 -67.0215
24.700001 85.617 -68.7183
25.000000 85.594 -69.9677
25.400000 85.561 -71.6016
25.799999 85.525 -73.1975
26.200001 85.488 -74.7545
26.500000 85.459 -75.8962
26.900000 85.419 -77.3845
27.200001 85.389 -78.4758
27.600000 85.349 -79.8996
28.000000 85.309 -81.2899
28.500000 85.259 -82.9846
29.000000 85.210 -84.6354
29.500000 85.162 -86.2456
30.000000 85.116 -87.8185
30.400000 85.080 -89.0516
30.700001 85.053 -89.9623
31.100000 85.018 -91.1588
31.500000 84.985 -92.3356
32.000000 84.944 -93.7797
32.500000 84.904 -95.1944
33.000000 84.865 -96.5802
33.500000 84.826 -97.9376
34.000000 84.788 -99.2666
34.500000 84.751 -100.5679
35.000000 84.714 -101.8416
35.500000 84.676 -103.0884
36.000000 84.639 -104.3086
36.500000 84.601 -105.5028
37.000000 84.563 -106.6714
37.500000 84.525 -107.8150
38.200001 84.470 -109.3746
38.700001 84.430 -110.4597
39.500000 84.366 -112.1481
40.000000 84.325 -113.1747
40.599998 84.276 -114.3793
41.200001 84.227 -115.5560
41.799999 84.178 -116.7064
42.500000 84.121 -118.0173
43.099998 84.073 -119.1157
43.700001 84.025 -120.1919
44.400002 83.970 -121.4202
45.000000 83.924 -122.4503
45.500000 83.885 -123.2927
46.200001 83.832 -124.4483
46.799999 83.787 -125.4167
47.500000 83.735 -126.5216
48.200001 83.684 -127.6000
48.700001 83.647 -128.3544
49.400002 83.597 -129.3892
50.000000 83.553 -130.2565
50.799999 83.495 -131.3856
51.500000 83.445 -132.3486
52.200001 83.394 -133.2892
53.000000 83.336 -134.3380
53.799999 83.277 -135.3599
54.500000 83.226 -136.2330
55.200001 83.175 -137.0872
56.000000 83.116 -138.0408
57.000000 83.042 -139.2003
58.000000 82.967 -140.3246
59.000000 82.893 -141.4152
60.000000 82.818 -142.4733
60.799999 82.758 -143.2973
61.500000 82.706 -144.0026
62.200001 82.654 -144.6936
63.000000 82.594 -145.4666
64.000000 82.520 -146.4084
65.000000 82.446 -147.3246
66.000000 82.372 -148.2159
67.000000 82.298 -149.0837
68.000000 82.224 -149.9288
69.000000 82.150 -150.7518
70.000000 82.077 -151.5532
71.000000 82.003 -152.3335
72.000000 81.929 -153.0930
73.000000 81.856 -153.8323
74.000000 81.782 -154.5516
75.000000 81.709 -155.2513
76.199997 81.621 -156.0652
77.500000 81.525 -156.9155
78.800003 81.430 -157.7322
80.000000 81.342 -158.4555
81.199997 81.254 -159.1486
82.500000 81.159 -159.8645
83.800003 81.064 -160.5432
85.000000 80.977 -161.1363
86.199997 80.892 -161.6972
87.500000 80.800 -162.2688
88.500000 80.731 -162.6835
90.000000 80.631 -163.2665
91.199997 80.554 -163.7017
92.500000 80.474 -164.1457
93.800003 80.398 -164.5658
95.000000 80.332 -164.9373
96.199997 80.270 -165.2979
97.500000 80.207 -165.6815
98.800003 80.148 -166.0629
100.000000 80.097 -166.4164
101.500000 80.037 -166.8637
103.000000 79.979 -167.3188
104.400002 79.928 -167.7510
106.000000 79.871 -168.2521
107.500000 79.817 -168.7269
109.000000 79.764 -169.2038
110.599998 79.706 -169.7119
112.000000 79.655 -170.1531
113.800003 79.589 -170.7126
115.000000 79.543 -171.0788
117.199997 79.459 -171.7314
118.000000 79.427 -171.9619
120.599998 79.323 -172.6810
122.000000 79.266 -173.0475
124.099998 79.179 -173.5674
125.000000 79.142 -173.7787
126.500000 79.079 -174.1150
128.000000 79.016 -174.4311
131.500000 78.871 -175.0883
132.000000 78.850 -175.1730
134.000000 78.770 -175.4896
136.000000 78.691 -175.7717
138.000000 78.615 -176.0221
140.000000 78.543 -176.2440
143.000000 78.442 -176.5333
145.000000 78.381 -176.7047
147.500000 78.310 -176.9039
150.000000 78.245 -177.0959
152.500000 78.187 -177.2891
155.000000 78.133 -177.4896
157.500000 78.083 -177.7003
160.000000 78.036 -177.9215
162.500000 77.989 -178.1515
165.000000 77.944 -178.3867
167.500000 77.898 -178.6233
170.000000 77.852 -178.8574
172.500000 77.807 -179.0858
175.000000 77.761 -179.3065
177.500000 77.716 -179.5182
180.000000 77.671 -179.7209
182.500000 77.627 -179.9156
185.000000 77.585 179.8960
187.500000 77.544 179.7122
190.000000 77.504 179.5308
192.500000 77.464 179.3502
195.000000 77.426 179.1694
197.500000 77.388 178.9879
200.000000 77.350 178.8060
203.000000 77.304 178.5881
206.000000 77.258 178.3730
209.000000 77.211 178.1629
212.000000 77.162 177.9602
214.000000 77.130 177.8303
218.000000 77.063 177.5856
220.000000 77.029 177.4714
224.000000 76.961 177.2610
227.000000 76.910 177.1193
230.000000 76.859 176.9915
233.000000 76.808 176.8773
236.000000 76.757 176.7764
240.000000 76.691 176.6615
243.000000 76.641 176.5894
247.000000 76.577 176.5110
250.000000 76.529 176.4647
254.000000 76.467 176.4188
258.000000 76.407 176.3903
262.000000 76.348 176.3778
265.000000 76.305 176.3787
269.000000 76.249 176.3926
272.000000 76.208 176.4122
276.000000 76.155 176.4500
280.000000 76.105 176.5002
285.000000 76.044 176.5792
290.000000 75.987 176.6739
295.000000 75.934 176.7819
300.000000 75.884 176.9003
304.000000 75.846 177.0002
307.000000 75.820 177.0771
311.000000 75.786 177.1809
315.000000 75.755 177.2850
320.000000 75.718 177.4134
325.000000 75.683 177.5389
330.000000 75.650 177.6607
335.000000 75.619 177.7794
340.000000 75.588 177.8959
345.000000 75.559 178.0116
350.000000 75.530 178.1281
355.000000 75.501 178.2468
360.000000 75.473 178.3688
365.000000 75.446 178.4949
370.000000 75.420 178.6257
375.000000 75.394 178.7614
382.000000 75.360 178.9592
387.000000 75.337 179.1057
395.000000 75.303 179.3476
400.000000 75.283 179.5024
406.000000 75.261 179.6908
412.000000 75.240 179.8809
418.000000 75.221 -179.9285
425.000000 75.201 -179.7068
431.000000 75.185 -179.5178
437.000000 75.170 -179.3304
444.000000 75.153 -179.1137
450.000000 75.140 -178.9293
455.000000 75.129 -178.7761
462.000000 75.115 -178.5615
468.000000 75.103 -178.3764
475.000000 75.089 -178.1575
482.000000 75.075 -177.9343
487.000000 75.066 -177.7714
494.000000 75.053 -177.5378
500.000000 75.043 -177.3322
508.000000 75.030 -177.0500
515.000000 75.020 -176.7960
522.000000 75.012 -176.5356
530.000000 75.003 -176.2313
538.000000 74.997 -175.9205
545.000000 74.993 -175.6442
552.000000 74.990 -175.3648
560.000000 74.989 -175.0422
570.000000 74.989 -174.6359
580.000000 74.993 -174.2272
590.000000 74.999 -173.8174
600.000000 75.008 -173.4072
608.000000 75.017 -173.0790
615.000000 75.025 -172.7920
622.000000 75.035 -172.5052
630.000000 75.048 -172.1776
640.000000 75.065 -171.7686
650.000000 75.084 -171.3602
660.000000 75.105 -170.9523
670.000000 75.128 -170.5451
680.000000 75.153 -170.1384
690.000000 75.179 -169.7323
700.000000 75.208 -169.3269
710.000000 75.237 -168.9221
720.000000 75.269 -168.5179
730.000000 75.302 -168.1146
740.000000 75.337 -167.7121
750.000000 75.373 -167.3104
762.000000 75.418 -166.8297
775.000000 75.470 -166.3105
788.000000 75.525 -165.7932
800.000000 75.577 -165.3174
812.000000 75.632 -164.8433
825.000000 75.693 -164.3318
838.000000 75.757 -163.8228
850.000000 75.818 -163.3550
862.000000 75.881 -162.8895
875.000000 75.952 -162.3879
885.000000 76.008 -162.0040
900.000000 76.094 -161.4316
912.000000 76.165 -160.9767
925.000000 76.245 -160.4868
938.000000 76.326 -160.0004
950.000000 76.404 -159.5543
962.000000 76.483 -159.1111
975.000000 76.572 -158.6345
988.000000 76.662 -158.1616
1000.000000 76.748 -157.7284
1015.000000 76.858 -157.1915
1030.000000 76.972 -156.6600
1044.000000 77.082 -156.1689
1060.000000 77.211 -155.6137
1075.000000 77.335 -155.0991
1090.000000 77.464 -154.5906
1106.000000 77.605 -154.0549
1120.000000 77.731 -153.5920
1138.000000 77.898 -153.0052
1150.000000 78.011 -152.6194
1172.000000 78.224 -151.9236
1180.000000 78.302 -151.6744
1206.000000 78.560 -150.8790
1220.000000 78.701 -150.4602
1241.000000 78.914 -149.8451
1250.000000 79.005 -149.5864
1265.000000 79.159 -149.1622
1280.000000 79.313 -148.7469
1315.000000 79.674 -147.8138
1320.000000 79.726 -147.6848
1340.000000 79.934 -147.1804
1360.000000 80.142 -146.6951
1380.000000 80.351 -146.2297
1400.000000 80.561 -145.7856
1430.000000 80.878 -145.1617
1450.000000 81.091 -144.7760
1475.000000 81.359 -144.3302
1500.000000 81.630 -143.9276
1525.000000 81.903 -143.5713
1550.000000 82.179 -143.2648
1575.000000 82.459 -143.0117
1600.000000 82.740 -142.8158
1625.000000 83.025 -142.6812
1650.000000 83.311 -142.6119
1675.000000 83.599 -142.6124
1700.000000 83.889 -142.6870
1725.000000 84.178 -142.8404
1750.000000 84.467 -143.0768
1775.000000 84.755 -143.4004
1800.000000 85.041 -143.8155
1825.000000 85.323 -144.3256
1850.000000 85.601 -144.9338
1875.000000 85.873 -145.6428
1900.000000 86.138 -146.4543
1925.000000 86.395 -147.3692
1950.000000 86.643 -148.3873
1975.000000 86.880 -149.5072
2000.000000 87.105 -150.7263
2030.000000 87.358 -152.3143
2060.000000 87.591 -154.0299
2090.000000 87.803 -155.8607
2120.000000 87.991 -157.7917
2140.000000 88.104 -159.1262
2180.000000 88.296 -161.8834
2200.000000 88.375 -163.2939
2240.000000 88.502 -166.1479
2270.000000 88.568 -168.2925
2300.000000 88.611 -170.4174
2330.000000 88.631 -172.5034
2360.000000 88.629 -174.5327
2400.000000 88.596 -177.1230
2430.000000 88.551 -178.9625
2470.000000 88.465 178.7419
2500.000000 88.384 177.1473
2540.000000 88.257 175.1994
2580.000000 88.113 173.4589
2620.000000 87.955 171.9255
2650.000000 87.830 170.9083
2690.000000 87.658 169.7228
2720.000000 87.525 168.9567
2760.000000 87.347 168.0902
2800.000000 87.169 167.3900
2850.000000 86.949 166.7298
2900.000000 86.738 166.2855
2950.000000 86.537 166.0320
3000.000000 86.349 165.9442
3040.000000 86.210 165.9761
3070.000000 86.112 166.0511
3110.000000 85.993 166.2084
3150.000000 85.886 166.4195
3200.000000 85.770 166.7393
3250.000000 85.676 167.0981
3300.000000 85.603 167.4719
3350.000000 85.552 167.8373
3400.000000 85.523 168.1714
3450.000000 85.514 168.4525
3500.000000 85.525 168.6597
3550.000000 85.554 168.7732
3600.000000 85.598 168.7748
3650.000000 85.654 168.6480
3700.000000 85.721 168.3781
3750.000000 85.794 167.9530
3820.000000 85.900 167.0800
3870.000000 85.975 166.2496
3950.000000 86.084 164.5590
4000.000000 86.139 163.2803
4060.000000 86.189 161.5327
4120.000000 86.215 159.5724
4180.000000 86.214 157.4288
4250.000000 86.173 154.7471
4310.000000 86.101 152.3463
4370.000000 85.991 149.9061
4440.000000 85.815 147.0844
4500.000000 85.623 144.7517
4550.000000 85.434 142.9096
4620.000000 85.126 140.5424
4680.000000 84.826 138.7540
4750.000000 84.438 136.9928
4820.000000 84.013 135.6140
4870.000000 83.690 134.8740
4940.000000 83.216 134.1849
5000.000000 82.794 133.9126
5080.000000 82.217 133.9901
5150.000000 81.703 134.4473
5220.000000 81.189 135.2397
5300.000000 80.609 136.5184
5380.000000 80.044 138.1509
