* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410. Timing signal peak level -14.8 dBFS, measurement signal peak level -12.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 20, 2023 12:41:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0380 ms (-13 mm, -0.51 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Mar 20
* Smoothing: 1/6 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 89.839 137.3627
20.299999 89.857 135.5193
20.600000 89.867 133.7119
20.900000 89.870 131.9406
21.200001 89.869 130.2047
21.400000 89.866 129.0654
21.799999 89.856 126.8271
22.000000 89.851 125.7258
22.400000 89.838 123.5546
22.700001 89.828 121.9519
23.000000 89.816 120.3704
23.299999 89.804 118.8106
23.600000 89.791 117.2732
24.000000 89.772 115.2593
24.299999 89.756 113.7766
24.700001 89.734 111.8376
25.000000 89.716 110.4123
25.400000 89.690 108.5510
25.799999 89.663 106.7341
26.200001 89.635 104.9599
26.500000 89.615 103.6548
26.900000 89.588 101.9449
27.200001 89.568 100.6827
27.600000 89.542 99.0236
28.000000 89.516 97.3907
28.500000 89.482 95.3875
29.000000 89.447 93.4293
29.500000 89.412 91.5183
30.000000 89.377 89.6548
30.400000 89.350 88.1973
30.700001 89.330 87.1226
31.100000 89.305 85.7128
31.500000 89.280 84.3279
32.000000 89.252 82.6282
32.500000 89.225 80.9598
33.000000 89.200 79.3199
33.500000 89.176 77.7069
34.000000 89.153 76.1195
34.500000 89.129 74.5566
35.000000 89.104 73.0179
35.500000 89.079 71.5035
36.000000 89.052 70.0145
36.500000 89.023 68.5521
37.000000 88.994 67.1174
37.500000 88.963 65.7095
38.200001 88.918 63.7820
38.700001 88.884 62.4344
39.500000 88.829 60.3273
40.000000 88.793 59.0409
40.599998 88.749 57.5277
41.200001 88.705 56.0470
41.799999 88.660 54.5972
42.500000 88.607 52.9428
43.099998 88.563 51.5550
43.700001 88.518 50.1938
44.400002 88.468 48.6383
45.000000 88.425 47.3314
45.500000 88.390 46.2596
46.200001 88.342 44.7839
46.799999 88.301 43.5410
47.500000 88.254 42.1171
48.200001 88.207 40.7214
48.700001 88.173 39.7420
49.400002 88.126 38.3952
50.000000 88.085 37.2629
50.799999 88.030 35.7844
51.500000 87.981 34.5201
52.200001 87.932 33.2833
53.000000 87.875 31.9028
53.799999 87.818 30.5543
54.500000 87.769 29.3968
55.200001 87.719 28.2564
56.000000 87.662 26.9708
57.000000 87.589 25.3887
58.000000 87.516 23.8358
59.000000 87.441 22.3146
60.000000 87.366 20.8269
60.799999 87.305 19.6615
61.500000 87.252 18.6600
62.200001 87.200 17.6754
63.000000 87.139 16.5707
64.000000 87.064 15.2196
65.000000 86.989 13.9004
66.000000 86.913 12.6112
67.000000 86.838 11.3505
68.000000 86.763 10.1165
69.000000 86.688 8.9082
70.000000 86.614 7.7245
71.000000 86.540 6.5644
72.000000 86.467 5.4265
73.000000 86.394 4.3096
74.000000 86.321 3.2117
75.000000 86.248 2.1315
76.199997 86.162 0.8577
77.500000 86.068 -0.4944
78.800003 85.975 -1.8159
80.000000 85.890 -3.0077
81.199997 85.806 -4.1715
82.500000 85.716 -5.4011
83.800003 85.627 -6.6006
85.000000 85.546 -7.6843
86.199997 85.466 -8.7479
87.500000 85.381 -9.8798
88.500000 85.316 -10.7366
90.000000 85.219 -11.9991
91.199997 85.143 -12.9891
92.500000 85.061 -14.0414
93.800003 84.980 -15.0726
95.000000 84.906 -16.0059
96.199997 84.833 -16.9221
97.500000 84.755 -17.8964
98.800003 84.677 -18.8525
100.000000 84.607 -19.7197
101.500000 84.520 -20.7839
103.000000 84.435 -21.8273
104.400002 84.356 -22.7829
106.000000 84.267 -23.8543
107.500000 84.185 -24.8390
109.000000 84.104 -25.8044
110.599998 84.019 -26.8138
112.000000 83.945 -27.6799
113.800003 83.852 -28.7705
115.000000 83.791 -29.4837
117.199997 83.680 -30.7651
118.000000 83.640 -31.2234
120.599998 83.513 -32.6880
122.000000 83.446 -33.4620
124.099998 83.347 -34.6027
125.000000 83.305 -35.0839
126.500000 83.236 -35.8755
128.000000 83.168 -36.6541
131.500000 83.013 -38.4222
132.000000 82.991 -38.6694
134.000000 82.904 -39.6453
136.000000 82.819 -40.6008
138.000000 82.736 -41.5374
140.000000 82.653 -42.4567
143.000000 82.532 -43.8054
145.000000 82.453 -44.6850
147.500000 82.356 -45.7620
150.000000 82.261 -46.8138
152.500000 82.167 -47.8422
155.000000 82.076 -48.8483
157.500000 81.985 -49.8335
160.000000 81.897 -50.7982
162.500000 81.810 -51.7429
165.000000 81.725 -52.6685
167.500000 81.641 -53.5756
170.000000 81.559 -54.4650
172.500000 81.479 -55.3373
175.000000 81.399 -56.1930
177.500000 81.321 -57.0325
180.000000 81.244 -57.8561
182.500000 81.169 -58.6646
185.000000 81.094 -59.4583
187.500000 81.021 -60.2380
190.000000 80.950 -61.0044
192.500000 80.879 -61.7576
195.000000 80.810 -62.4981
197.500000 80.742 -63.2260
200.000000 80.675 -63.9413
203.000000 80.595 -64.7829
206.000000 80.518 -65.6057
209.000000 80.441 -66.4097
212.000000 80.366 -67.1951
214.000000 80.317 -67.7084
218.000000 80.221 -68.7109
220.000000 80.174 -69.2002
224.000000 80.082 -70.1545
227.000000 80.015 -70.8491
230.000000 79.951 -71.5260
233.000000 79.888 -72.1866
236.000000 79.828 -72.8328
240.000000 79.752 -73.6757
243.000000 79.698 -74.2975
247.000000 79.631 -75.1170
250.000000 79.583 -75.7275
254.000000 79.522 -76.5389
258.000000 79.463 -77.3488
262.000000 79.407 -78.1562
265.000000 79.365 -78.7588
269.000000 79.310 -79.5554
272.000000 79.269 -80.1459
276.000000 79.215 -80.9218
280.000000 79.161 -81.6832
285.000000 79.095 -82.6132
290.000000 79.031 -83.5189
295.000000 78.969 -84.4003
300.000000 78.909 -85.2576
304.000000 78.862 -85.9260
307.000000 78.829 -86.4172
311.000000 78.786 -87.0590
315.000000 78.744 -87.6866
320.000000 78.695 -88.4530
325.000000 78.649 -89.2017
330.000000 78.605 -89.9353
335.000000 78.565 -90.6561
340.000000 78.528 -91.3658
345.000000 78.493 -92.0656
350.000000 78.460 -92.7558
355.000000 78.428 -93.4368
360.000000 78.399 -94.1083
365.000000 78.371 -94.7704
370.000000 78.344 -95.4226
375.000000 78.319 -96.0648
382.000000 78.286 -96.9464
387.000000 78.264 -97.5639
395.000000 78.233 -98.5313
400.000000 78.215 -99.1239
406.000000 78.196 -99.8243
412.000000 78.179 -100.5142
418.000000 78.164 -101.1946
425.000000 78.148 -101.9777
431.000000 78.136 -102.6393
437.000000 78.125 -103.2921
444.000000 78.114 -104.0419
450.000000 78.106 -104.6743
455.000000 78.100 -105.1942
462.000000 78.093 -105.9111
468.000000 78.088 -106.5156
475.000000 78.084 -107.2096
482.000000 78.081 -107.8912
487.000000 78.080 -108.3706
494.000000 78.079 -109.0316
500.000000 78.080 -109.5890
508.000000 78.082 -110.3198
515.000000 78.085 -110.9486
522.000000 78.089 -111.5681
530.000000 78.095 -112.2653
538.000000 78.102 -112.9510
545.000000 78.110 -113.5422
552.000000 78.119 -114.1260
560.000000 78.130 -114.7842
570.000000 78.145 -115.5948
580.000000 78.162 -116.3928
590.000000 78.179 -117.1780
600.000000 78.198 -117.9506
608.000000 78.213 -118.5593
615.000000 78.226 -119.0851
622.000000 78.240 -119.6045
630.000000 78.256 -120.1901
640.000000 78.277 -120.9100
650.000000 78.298 -121.6166
660.000000 78.319 -122.3098
670.000000 78.340 -122.9896
680.000000 78.361 -123.6555
690.000000 78.383 -124.3076
700.000000 78.405 -124.9459
710.000000 78.427 -125.5703
720.000000 78.449 -126.1812
730.000000 78.472 -126.7783
740.000000 78.495 -127.3624
750.000000 78.518 -127.9341
762.000000 78.546 -128.6038
775.000000 78.577 -129.3096
788.000000 78.608 -129.9949
800.000000 78.638 -130.6086
812.000000 78.667 -131.2046
825.000000 78.700 -131.8303
838.000000 78.733 -132.4355
850.000000 78.764 -132.9764
862.000000 78.796 -133.5009
875.000000 78.831 -134.0513
885.000000 78.859 -134.4629
900.000000 78.902 -135.0623
912.000000 78.937 -135.5271
925.000000 78.975 -136.0162
938.000000 79.015 -136.4907
950.000000 79.051 -136.9155
962.000000 79.089 -137.3279
975.000000 79.130 -137.7607
988.000000 79.171 -138.1794
1000.000000 79.210 -138.5536
1015.000000 79.259 -139.0051
1030.000000 79.309 -139.4395
1044.000000 79.358 -139.8298
1060.000000 79.416 -140.2590
1075.000000 79.473 -140.6456
1090.000000 79.534 -141.0177
1106.000000 79.602 -141.3989
1120.000000 79.665 -141.7201
1138.000000 79.752 -142.1167
1150.000000 79.812 -142.3711
1172.000000 79.926 -142.8181
1180.000000 79.968 -142.9746
1206.000000 80.109 -143.4614
1220.000000 80.184 -143.7104
1241.000000 80.297 -144.0676
1250.000000 80.345 -144.2150
1265.000000 80.425 -144.4534
1280.000000 80.503 -144.6833
1315.000000 80.680 -145.1882
1320.000000 80.704 -145.2570
1340.000000 80.802 -145.5240
1360.000000 80.897 -145.7788
1380.000000 80.989 -146.0223
1400.000000 81.080 -146.2554
1430.000000 81.212 -146.5874
1450.000000 81.298 -146.7985
1475.000000 81.405 -147.0520
1500.000000 81.510 -147.2953
1525.000000 81.615 -147.5295
1550.000000 81.719 -147.7556
1575.000000 81.824 -147.9744
1600.000000 81.930 -148.1871
1625.000000 82.036 -148.3951
1650.000000 82.144 -148.6003
1675.000000 82.253 -148.8048
1700.000000 82.365 -149.0107
1725.000000 82.478 -149.2207
1750.000000 82.594 -149.4376
1775.000000 82.712 -149.6639
1800.000000 82.832 -149.9026
1825.000000 82.955 -150.1556
1850.000000 83.081 -150.4255
1875.000000 83.209 -150.7144
1900.000000 83.341 -151.0238
1925.000000 83.475 -151.3563
1950.000000 83.612 -151.7136
1975.000000 83.753 -152.0985
2000.000000 83.896 -152.5128
2030.000000 84.072 -153.0530
2060.000000 84.250 -153.6437
2090.000000 84.431 -154.2896
2120.000000 84.614 -154.9951
2140.000000 84.736 -155.5007
2180.000000 84.979 -156.6017
2200.000000 85.099 -157.1990
2240.000000 85.335 -158.4911
2270.000000 85.506 -159.5471
2300.000000 85.672 -160.6783
2330.000000 85.831 -161.8840
2360.000000 85.981 -163.1626
2400.000000 86.168 -164.9761
2430.000000 86.296 -166.4132
2470.000000 86.449 -168.4247
2500.000000 86.551 -169.9998
2540.000000 86.666 -172.1813
2580.000000 86.758 -174.4482
2620.000000 86.824 -176.7922
2650.000000 86.856 -178.5941
2690.000000 86.874 178.9556
2720.000000 86.868 177.0922
2760.000000 86.832 174.5918
2800.000000 86.764 172.0983
2850.000000 86.632 169.0370
2900.000000 86.450 166.0928
2950.000000 86.220 163.3198
3000.000000 85.944 160.7632
3040.000000 85.693 158.8967
3070.000000 85.489 157.6099
3110.000000 85.197 156.0532
3150.000000 84.884 154.6862
3200.000000 84.467 153.2571
3250.000000 84.022 152.1570
3300.000000 83.554 151.4117
3350.000000 83.068 151.0515
3400.000000 82.569 151.1023
3450.000000 82.069 151.5720
3500.000000 81.581 152.4368
3550.000000 81.117 153.6365
3600.000000 80.689 155.0883
3650.000000 80.301 156.7080
3700.000000 79.954 158.4323
3750.000000 79.641 160.2289
3820.000000 79.249 162.8677
3870.000000 78.996 164.8726
3950.000000 78.638 168.3795
4000.000000 78.452 170.8014
4060.000000 78.285 173.9587
4120.000000 78.200 177.3616
4180.000000 78.224 -179.0780
4250.000000 78.412 -174.9316
4310.000000 78.713 -171.6260
4370.000000 79.119 -168.8009
4440.000000 79.676 -166.4009
4500.000000 80.174 -165.2778
4550.000000 80.571 -165.0374
4620.000000 81.065 -165.6958
4680.000000 81.410 -167.0366
4750.000000 81.709 -169.2527
4820.000000 81.898 -171.8882
4870.000000 81.967 -173.8794
4940.000000 81.982 -176.6479
5000.000000 81.925 -178.8800
