* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2023 9:26:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: EDA Hires L
* Smoothing: 1/3 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 83.695 -153.5214
20.299999 83.691 -153.8812
20.600000 83.688 -154.2759
20.900000 83.686 -154.7028
21.200001 83.686 -155.1585
21.400000 83.686 -155.4764
21.799999 83.689 -156.1418
22.000000 83.690 -156.4872
22.400000 83.694 -157.1990
22.700001 83.698 -157.7480
23.000000 83.700 -158.3069
23.299999 83.702 -158.8729
23.600000 83.703 -159.4436
24.000000 83.702 -160.2074
24.299999 83.699 -160.7790
24.700001 83.692 -161.5347
25.000000 83.686 -162.0938
25.400000 83.675 -162.8253
25.799999 83.662 -163.5385
26.200001 83.647 -164.2323
26.500000 83.636 -164.7402
26.900000 83.621 -165.4023
27.200001 83.610 -165.8888
27.600000 83.596 -166.5259
28.000000 83.583 -167.1516
28.500000 83.567 -167.9194
29.000000 83.551 -168.6721
29.500000 83.536 -169.4093
30.000000 83.522 -170.1303
30.400000 83.510 -170.6948
30.700001 83.501 -171.1108
31.100000 83.489 -171.6557
31.500000 83.476 -172.1893
32.000000 83.460 -172.8401
32.500000 83.444 -173.4733
33.000000 83.427 -174.0891
33.500000 83.409 -174.6879
34.000000 83.391 -175.2706
34.500000 83.371 -175.8383
35.000000 83.352 -176.3921
35.500000 83.332 -176.9332
36.000000 83.312 -177.4629
36.500000 83.291 -177.9821
37.000000 83.270 -178.4918
37.500000 83.249 -178.9926
38.200001 83.219 -179.6804
38.700001 83.198 179.8375
39.500000 83.162 179.0822
40.000000 83.140 178.6201
40.599998 83.112 178.0765
41.200001 83.083 177.5447
41.799999 83.054 177.0252
42.500000 83.020 176.4351
43.099998 82.989 175.9426
43.700001 82.959 175.4630
44.400002 82.923 174.9192
45.000000 82.893 174.4659
45.500000 82.867 174.0967
46.200001 82.832 173.5917
46.799999 82.802 173.1683
47.500000 82.767 172.6843
48.200001 82.733 172.2098
48.700001 82.708 171.8762
49.400002 82.674 171.4163
50.000000 82.645 171.0284
50.799999 82.606 170.5211
51.500000 82.571 170.0865
52.200001 82.537 169.6616
53.000000 82.498 169.1884
53.799999 82.458 168.7291
54.500000 82.423 168.3390
55.200001 82.389 167.9600
56.000000 82.349 167.5405
57.000000 82.298 167.0361
58.000000 82.247 166.5529
59.000000 82.194 166.0888
60.000000 82.142 165.6412
60.799999 82.099 165.2934
61.500000 82.062 164.9957
62.200001 82.024 164.7034
63.000000 81.982 164.3755
64.000000 81.929 163.9747
65.000000 81.876 163.5834
66.000000 81.823 163.2025
67.000000 81.771 162.8325
68.000000 81.720 162.4744
69.000000 81.668 162.1285
70.000000 81.618 161.7955
71.000000 81.567 161.4750
72.000000 81.517 161.1666
73.000000 81.467 160.8699
74.000000 81.417 160.5842
75.000000 81.367 160.3087
76.199997 81.308 159.9909
77.500000 81.244 159.6611
78.800003 81.180 159.3452
80.000000 81.121 159.0648
81.199997 81.062 158.7949
82.500000 80.999 158.5142
83.800003 80.936 158.2456
85.000000 80.878 158.0090
86.199997 80.821 157.7833
87.500000 80.759 157.5511
88.500000 80.712 157.3812
90.000000 80.641 157.1401
91.199997 80.586 156.9587
92.500000 80.526 156.7734
93.800003 80.467 156.5991
95.000000 80.413 156.4476
96.199997 80.360 156.3046
97.500000 80.302 156.1584
98.800003 80.246 156.0212
100.000000 80.194 155.9019
101.500000 80.131 155.7627
103.000000 80.067 155.6344
104.400002 80.009 155.5249
106.000000 79.942 155.4122
107.500000 79.880 155.3191
109.000000 79.819 155.2382
110.599998 79.754 155.1657
112.000000 79.697 155.1138
113.800003 79.625 155.0624
115.000000 79.578 155.0374
117.199997 79.494 155.0092
118.000000 79.464 155.0042
120.599998 79.369 155.0042
122.000000 79.320 155.0128
124.099998 79.249 155.0338
125.000000 79.219 155.0449
126.500000 79.172 155.0651
128.000000 79.126 155.0864
131.500000 79.023 155.1349
132.000000 79.009 155.1414
134.000000 78.954 155.1656
136.000000 78.900 155.1875
138.000000 78.848 155.2082
140.000000 78.796 155.2288
143.000000 78.718 155.2634
145.000000 78.667 155.2913
147.500000 78.603 155.3339
150.000000 78.540 155.3875
152.500000 78.477 155.4532
155.000000 78.415 155.5321
157.500000 78.355 155.6239
160.000000 78.296 155.7278
162.500000 78.239 155.8425
165.000000 78.183 155.9658
167.500000 78.130 156.0953
170.000000 78.080 156.2288
172.500000 78.031 156.3636
175.000000 77.984 156.4975
177.500000 77.939 156.6289
180.000000 77.896 156.7563
182.500000 77.854 156.8793
185.000000 77.812 156.9974
187.500000 77.772 157.1110
190.000000 77.731 157.2206
192.500000 77.691 157.3270
195.000000 77.652 157.4315
197.500000 77.612 157.5352
200.000000 77.572 157.6390
203.000000 77.524 157.7653
206.000000 77.476 157.8949
209.000000 77.428 158.0292
212.000000 77.380 158.1686
214.000000 77.348 158.2650
218.000000 77.284 158.4662
220.000000 77.252 158.5712
224.000000 77.189 158.7902
227.000000 77.142 158.9625
230.000000 77.096 159.1415
233.000000 77.050 159.3274
236.000000 77.005 159.5198
240.000000 76.946 159.7861
243.000000 76.903 159.9930
247.000000 76.847 160.2773
250.000000 76.806 160.4965
254.000000 76.753 160.7952
258.000000 76.702 161.1002
262.000000 76.653 161.4099
265.000000 76.618 161.6442
269.000000 76.573 161.9581
272.000000 76.540 162.1940
276.000000 76.498 162.5085
280.000000 76.457 162.8224
285.000000 76.409 163.2132
290.000000 76.362 163.6024
295.000000 76.317 163.9902
300.000000 76.274 164.3773
304.000000 76.240 164.6867
307.000000 76.215 164.9186
311.000000 76.182 165.2282
315.000000 76.151 165.5382
320.000000 76.112 165.9264
325.000000 76.075 166.3156
330.000000 76.039 166.7059
335.000000 76.003 167.0974
340.000000 75.970 167.4902
345.000000 75.937 167.8843
350.000000 75.905 168.2794
355.000000 75.875 168.6753
360.000000 75.845 169.0720
365.000000 75.817 169.4690
370.000000 75.789 169.8662
375.000000 75.763 170.2634
382.000000 75.728 170.8190
387.000000 75.704 171.2153
395.000000 75.668 171.8480
400.000000 75.646 172.2425
406.000000 75.622 172.7148
412.000000 75.599 173.1860
418.000000 75.577 173.6562
425.000000 75.552 174.2031
431.000000 75.533 174.6709
437.000000 75.514 175.1375
444.000000 75.494 175.6804
450.000000 75.478 176.1446
455.000000 75.465 176.5305
462.000000 75.449 177.0695
468.000000 75.435 177.5302
475.000000 75.421 178.0662
482.000000 75.408 178.6008
487.000000 75.399 178.9818
494.000000 75.388 179.5142
500.000000 75.379 179.9694
508.000000 75.369 -179.4251
515.000000 75.361 -178.8967
522.000000 75.354 -178.3695
530.000000 75.347 -177.7686
538.000000 75.342 -177.1694
545.000000 75.339 -176.6464
552.000000 75.336 -176.1246
560.000000 75.335 -175.5295
570.000000 75.335 -174.7877
580.000000 75.337 -174.0477
590.000000 75.341 -173.3096
600.000000 75.347 -172.5735
608.000000 75.354 -171.9860
615.000000 75.360 -171.4729
622.000000 75.368 -170.9609
630.000000 75.378 -170.3772
640.000000 75.392 -169.6495
650.000000 75.409 -168.9246
660.000000 75.428 -168.2025
670.000000 75.448 -167.4838
680.000000 75.471 -166.7687
690.000000 75.496 -166.0579
700.000000 75.522 -165.3516
710.000000 75.551 -164.6504
720.000000 75.582 -163.9547
730.000000 75.614 -163.2646
740.000000 75.649 -162.5806
750.000000 75.685 -161.9029
762.000000 75.731 -161.0978
775.000000 75.783 -160.2356
788.000000 75.839 -159.3829
800.000000 75.892 -158.6035
812.000000 75.949 -157.8307
825.000000 76.013 -157.0004
838.000000 76.080 -156.1774
850.000000 76.146 -155.4250
862.000000 76.215 -154.6814
875.000000 76.294 -153.8885
885.000000 76.358 -153.2900
900.000000 76.458 -152.4152
912.000000 76.541 -151.7382
925.000000 76.635 -151.0309
938.000000 76.730 -150.3525
950.000000 76.820 -149.7531
962.000000 76.911 -149.1796
975.000000 77.011 -148.5870
988.000000 77.112 -148.0239
1000.000000 77.205 -147.5293
1015.000000 77.321 -146.9438
1030.000000 77.438 -146.3931
1044.000000 77.547 -145.9091
1060.000000 77.670 -145.3900
1075.000000 77.785 -144.9351
1090.000000 77.900 -144.5096
1106.000000 78.021 -144.0870
1120.000000 78.126 -143.7428
1138.000000 78.259 -143.3336
1150.000000 78.347 -143.0807
1172.000000 78.505 -142.6564
1180.000000 78.562 -142.5139
1206.000000 78.743 -142.0918
1220.000000 78.838 -141.8885
1241.000000 78.978 -141.6124
1250.000000 79.038 -141.5038
1265.000000 79.135 -141.3352
1280.000000 79.230 -141.1808
1315.000000 79.448 -140.8710
1320.000000 79.478 -140.8320
1340.000000 79.598 -140.6885
1360.000000 79.716 -140.5634
1380.000000 79.831 -140.4557
1400.000000 79.945 -140.3647
1430.000000 80.112 -140.2584
1450.000000 80.221 -140.2073
1475.000000 80.356 -140.1655
1500.000000 80.488 -140.1486
1525.000000 80.619 -140.1573
1550.000000 80.747 -140.1923
1575.000000 80.873 -140.2548
1600.000000 80.997 -140.3456
1625.000000 81.119 -140.4658
1650.000000 81.239 -140.6166
1675.000000 81.356 -140.7990
1700.000000 81.471 -141.0135
1725.000000 81.582 -141.2613
1750.000000 81.691 -141.5427
1775.000000 81.797 -141.8580
1800.000000 81.899 -142.2078
1825.000000 81.997 -142.5917
1850.000000 82.092 -143.0095
1875.000000 82.182 -143.4609
1900.000000 82.268 -143.9450
1925.000000 82.350 -144.4611
1950.000000 82.427 -145.0078
1975.000000 82.498 -145.5839
2000.000000 82.565 -146.1877
2030.000000 82.638 -146.9461
2060.000000 82.704 -147.7380
2090.000000 82.761 -148.5591
2120.000000 82.810 -149.4048
2140.000000 82.838 -149.9799
2180.000000 82.884 -151.1497
2200.000000 82.902 -151.7413
2240.000000 82.926 -152.9299
2270.000000 82.935 -153.8196
2300.000000 82.937 -154.7020
2330.000000 82.931 -155.5721
2360.000000 82.919 -156.4250
2400.000000 82.893 -157.5281
2430.000000 82.866 -158.3246
2470.000000 82.822 -159.3386
2500.000000 82.783 -160.0593
2540.000000 82.724 -160.9620
2580.000000 82.659 -161.7936
2620.000000 82.588 -162.5503
2650.000000 82.532 -163.0667
2690.000000 82.453 -163.6857
2720.000000 82.393 -164.0971
2760.000000 82.311 -164.5751
2800.000000 82.229 -164.9731
2850.000000 82.127 -165.3601
2900.000000 82.028 -165.6290
2950.000000 81.935 -165.7871
3000.000000 81.849 -165.8435
3040.000000 81.786 -165.8230
3070.000000 81.744 -165.7734
3110.000000 81.694 -165.6675
3150.000000 81.652 -165.5228
3200.000000 81.611 -165.2975
3250.000000 81.583 -165.0355
3300.000000 81.568 -164.7483
3350.000000 81.565 -164.4464
3400.000000 81.576 -164.1384
3450.000000 81.598 -163.8320
3500.000000 81.632 -163.5339
3550.000000 81.677 -163.2505
3600.000000 81.734 -162.9882
3650.000000 81.800 -162.7535
3700.000000 81.876 -162.5530
3750.000000 81.962 -162.3940
3820.000000 82.095 -162.2547
3870.000000 82.200 -162.2250
3950.000000 82.379 -162.3193
4000.000000 82.496 -162.4783
4060.000000 82.641 -162.7823
4120.000000 82.787 -163.2201
4180.000000 82.933 -163.8006
4250.000000 83.097 -164.6676
4310.000000 83.231 -165.5778
4370.000000 83.355 -166.6427
4440.000000 83.484 -168.0759
4500.000000 83.578 -169.4584
4550.000000 83.643 -170.7095
4620.000000 83.712 -172.5925
4680.000000 83.748 -174.3055
4750.000000 83.763 -176.3851
4820.000000 83.746 -178.5105
4870.000000 83.714 179.9688
4940.000000 83.643 177.8720
5000.000000 83.557 176.1351
5080.000000 83.409 173.9528
5150.000000 83.249 172.2061
5220.000000 83.065 170.6413
5300.000000 82.827 169.1014
5380.000000 82.565 167.8445
5450.000000 82.319 166.9827
5520.000000 82.062 166.3424
5600.000000 81.758 165.8757
5700.000000 81.368 165.6735
5800.000000 80.976 165.8712
