* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 24, 2023 9:29:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: EDA Hires R
* Smoothing: 1/3 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 82.994 -145.2828
20.299999 83.006 -145.7223
20.600000 83.018 -146.1964
20.900000 83.031 -146.7021
21.200001 83.044 -147.2355
21.400000 83.053 -147.6039
21.799999 83.072 -148.3672
22.000000 83.081 -148.7593
22.400000 83.100 -149.5592
22.700001 83.113 -150.1693
23.000000 83.126 -150.7844
23.299999 83.137 -151.4017
23.600000 83.147 -152.0188
24.000000 83.158 -152.8370
24.299999 83.165 -153.4446
24.700001 83.172 -154.2437
25.000000 83.176 -154.8332
25.400000 83.180 -155.6057
25.799999 83.183 -156.3631
26.200001 83.186 -157.1075
26.500000 83.188 -157.6588
26.900000 83.190 -158.3868
27.200001 83.191 -158.9288
27.600000 83.193 -159.6472
28.000000 83.195 -160.3611
28.500000 83.195 -161.2460
29.000000 83.194 -162.1191
29.500000 83.192 -162.9766
30.000000 83.187 -163.8140
30.400000 83.182 -164.4675
30.700001 83.178 -164.9471
31.100000 83.172 -165.5726
31.500000 83.166 -166.1818
32.000000 83.157 -166.9213
32.500000 83.147 -167.6372
33.000000 83.136 -168.3314
33.500000 83.125 -169.0052
34.000000 83.114 -169.6602
34.500000 83.102 -170.2979
35.000000 83.089 -170.9194
35.500000 83.075 -171.5266
36.000000 83.062 -172.1207
36.500000 83.047 -172.7029
37.000000 83.033 -173.2746
37.500000 83.017 -173.8364
38.200001 82.995 -174.6073
38.700001 82.979 -175.1471
39.500000 82.952 -175.9917
40.000000 82.935 -176.5078
40.599998 82.913 -177.1151
41.200001 82.891 -177.7095
41.799999 82.869 -178.2917
42.500000 82.842 -178.9559
43.099998 82.819 -179.5128
43.700001 82.795 179.9417
44.400002 82.766 179.3195
45.000000 82.741 178.7982
45.500000 82.720 178.3725
46.200001 82.690 177.7900
46.799999 82.664 177.3033
47.500000 82.633 176.7506
48.200001 82.602 176.2142
48.700001 82.579 175.8409
49.400002 82.547 175.3319
50.000000 82.520 174.9075
50.799999 82.484 174.3578
51.500000 82.452 173.8909
52.200001 82.420 173.4360
53.000000 82.384 172.9296
53.799999 82.347 172.4365
54.500000 82.315 172.0151
55.200001 82.282 171.6024
56.000000 82.245 171.1407
57.000000 82.197 170.5785
58.000000 82.149 170.0315
59.000000 82.100 169.4991
60.000000 82.052 168.9805
60.799999 82.012 168.5753
61.500000 81.978 168.2277
62.200001 81.944 167.8867
63.000000 81.904 167.5054
64.000000 81.855 167.0420
65.000000 81.806 166.5939
66.000000 81.758 166.1616
67.000000 81.709 165.7457
68.000000 81.661 165.3457
69.000000 81.614 164.9615
70.000000 81.567 164.5920
71.000000 81.520 164.2363
72.000000 81.474 163.8933
73.000000 81.428 163.5615
74.000000 81.383 163.2398
75.000000 81.337 162.9269
76.199997 81.283 162.5620
77.500000 81.225 162.1782
78.800003 81.167 161.8052
80.000000 81.113 161.4700
81.199997 81.059 161.1429
82.500000 81.001 160.7974
83.800003 80.942 160.4608
85.000000 80.888 160.1578
86.199997 80.833 159.8625
87.500000 80.773 159.5516
88.500000 80.727 159.3192
90.000000 80.656 158.9825
91.199997 80.600 158.7245
92.500000 80.539 158.4568
93.800003 80.477 158.2025
95.000000 80.420 157.9799
96.199997 80.363 157.7691
97.500000 80.300 157.5542
98.800003 80.238 157.3530
100.000000 80.181 157.1794
101.500000 80.109 156.9787
103.000000 80.037 156.7964
104.400002 79.970 156.6435
106.000000 79.893 156.4900
107.500000 79.821 156.3683
109.000000 79.749 156.2694
110.599998 79.673 156.1905
112.000000 79.607 156.1447
113.800003 79.524 156.1176
115.000000 79.471 156.1188
117.199997 79.377 156.1567
118.000000 79.345 156.1804
120.599998 79.247 156.2830
122.000000 79.200 156.3476
124.099998 79.134 156.4451
125.000000 79.109 156.4841
126.500000 79.068 156.5417
128.000000 79.031 156.5876
131.500000 78.951 156.6402
132.000000 78.940 156.6415
134.000000 78.896 156.6332
136.000000 78.851 156.6083
138.000000 78.805 156.5741
140.000000 78.756 156.5386
143.000000 78.681 156.4976
145.000000 78.629 156.4854
147.500000 78.564 156.4915
150.000000 78.500 156.5216
152.500000 78.437 156.5731
155.000000 78.376 156.6413
157.500000 78.317 156.7214
160.000000 78.262 156.8083
162.500000 78.208 156.8983
165.000000 78.158 156.9883
167.500000 78.108 157.0763
170.000000 78.061 157.1613
172.500000 78.014 157.2428
175.000000 77.969 157.3215
177.500000 77.924 157.3979
180.000000 77.879 157.4733
182.500000 77.834 157.5486
185.000000 77.789 157.6251
187.500000 77.745 157.7039
190.000000 77.700 157.7858
192.500000 77.655 157.8716
195.000000 77.610 157.9622
197.500000 77.566 158.0578
200.000000 77.521 158.1591
203.000000 77.469 158.2886
206.000000 77.416 158.4269
209.000000 77.365 158.5741
212.000000 77.314 158.7298
214.000000 77.281 158.8381
218.000000 77.216 159.0645
220.000000 77.184 159.1820
224.000000 77.122 159.4242
227.000000 77.077 159.6110
230.000000 77.034 159.8011
233.000000 76.991 159.9938
236.000000 76.950 160.1885
240.000000 76.896 160.4505
243.000000 76.857 160.6485
247.000000 76.806 160.9146
250.000000 76.768 161.1160
254.000000 76.720 161.3870
258.000000 76.673 161.6613
262.000000 76.627 161.9388
265.000000 76.593 162.1492
269.000000 76.550 162.4319
272.000000 76.518 162.6456
276.000000 76.477 162.9324
280.000000 76.436 163.2208
285.000000 76.388 163.5836
290.000000 76.341 163.9487
295.000000 76.295 164.3156
300.000000 76.251 164.6841
304.000000 76.217 164.9799
307.000000 76.192 165.2021
311.000000 76.159 165.4990
315.000000 76.127 165.7961
320.000000 76.089 166.1682
325.000000 76.051 166.5410
330.000000 76.015 166.9144
335.000000 75.980 167.2891
340.000000 75.946 167.6653
345.000000 75.913 168.0436
350.000000 75.880 168.4245
355.000000 75.849 168.8083
360.000000 75.819 169.1953
365.000000 75.790 169.5856
370.000000 75.762 169.9789
375.000000 75.735 170.3748
382.000000 75.700 170.9323
387.000000 75.677 171.3317
395.000000 75.643 171.9706
400.000000 75.623 172.3685
406.000000 75.602 172.8431
412.000000 75.583 173.3138
418.000000 75.565 173.7796
425.000000 75.546 174.3162
431.000000 75.531 174.7700
437.000000 75.517 175.2181
444.000000 75.503 175.7343
450.000000 75.491 176.1713
455.000000 75.481 176.5320
462.000000 75.469 177.0326
468.000000 75.459 177.4580
475.000000 75.448 177.9509
482.000000 75.437 178.4409
487.000000 75.430 178.7895
494.000000 75.421 179.2759
500.000000 75.413 179.6918
508.000000 75.404 -179.7549
515.000000 75.396 -179.2715
522.000000 75.389 -178.7888
530.000000 75.382 -178.2376
538.000000 75.376 -177.6868
545.000000 75.372 -177.2051
552.000000 75.368 -176.7236
560.000000 75.364 -176.1733
570.000000 75.362 -175.4855
580.000000 75.360 -174.7972
590.000000 75.361 -174.1086
600.000000 75.363 -173.4197
608.000000 75.366 -172.8682
615.000000 75.369 -172.3854
622.000000 75.373 -171.9026
630.000000 75.379 -171.3506
640.000000 75.388 -170.6604
650.000000 75.399 -169.9700
660.000000 75.412 -169.2797
670.000000 75.426 -168.5892
680.000000 75.442 -167.8984
690.000000 75.460 -167.2072
700.000000 75.480 -166.5152
710.000000 75.502 -165.8223
720.000000 75.526 -165.1280
730.000000 75.553 -164.4322
740.000000 75.582 -163.7350
750.000000 75.613 -163.0365
762.000000 75.656 -162.1976
775.000000 75.707 -161.2903
788.000000 75.764 -160.3887
800.000000 75.822 -159.5662
812.000000 75.886 -158.7584
825.000000 75.960 -157.9055
838.000000 76.040 -157.0808
850.000000 76.116 -156.3473
862.000000 76.196 -155.6415
875.000000 76.284 -154.9078
885.000000 76.354 -154.3646
900.000000 76.459 -153.5828
912.000000 76.544 -152.9845
925.000000 76.637 -152.3621
938.000000 76.730 -151.7651
950.000000 76.816 -151.2354
962.000000 76.903 -150.7249
975.000000 76.996 -150.1924
988.000000 77.090 -149.6801
1000.000000 77.177 -149.2242
1015.000000 77.285 -148.6760
1030.000000 77.393 -148.1511
1044.000000 77.495 -147.6817
1060.000000 77.611 -147.1691
1075.000000 77.720 -146.7118
1090.000000 77.829 -146.2770
1106.000000 77.946 -145.8383
1120.000000 78.048 -145.4758
1138.000000 78.180 -145.0395
1150.000000 78.267 -144.7671
1172.000000 78.426 -144.3058
1180.000000 78.484 -144.1501
1206.000000 78.670 -143.6880
1220.000000 78.769 -143.4661
1241.000000 78.916 -143.1671
1250.000000 78.979 -143.0510
1265.000000 79.082 -142.8730
1280.000000 79.184 -142.7136
1315.000000 79.417 -142.4099
1320.000000 79.450 -142.3738
1340.000000 79.579 -142.2470
1360.000000 79.706 -142.1465
1380.000000 79.831 -142.0708
1400.000000 79.953 -142.0187
1430.000000 80.133 -141.9818
1450.000000 80.250 -141.9834
1475.000000 80.393 -142.0137
1500.000000 80.534 -142.0745
1525.000000 80.671 -142.1652
1550.000000 80.806 -142.2857
1575.000000 80.938 -142.4363
1600.000000 81.067 -142.6171
1625.000000 81.193 -142.8289
1650.000000 81.316 -143.0724
1675.000000 81.437 -143.3482
1700.000000 81.554 -143.6572
1725.000000 81.668 -143.9998
1750.000000 81.778 -144.3768
1775.000000 81.885 -144.7885
1800.000000 81.988 -145.2350
1825.000000 82.087 -145.7162
1850.000000 82.181 -146.2319
1875.000000 82.271 -146.7816
1900.000000 82.356 -147.3643
1925.000000 82.436 -147.9788
1950.000000 82.511 -148.6240
1975.000000 82.580 -149.2981
2000.000000 82.644 -149.9991
2030.000000 82.713 -150.8728
2060.000000 82.773 -151.7778
2090.000000 82.825 -152.7092
2120.000000 82.867 -153.6617
2140.000000 82.891 -154.3057
2180.000000 82.927 -155.6074
2200.000000 82.939 -156.2617
2240.000000 82.952 -157.5681
2270.000000 82.953 -158.5396
2300.000000 82.946 -159.4979
2330.000000 82.932 -160.4380
2360.000000 82.911 -161.3555
2400.000000 82.874 -162.5364
2430.000000 82.840 -163.3856
2470.000000 82.786 -164.4634
2500.000000 82.741 -165.2278
2540.000000 82.674 -166.1844
2580.000000 82.602 -167.0665
2620.000000 82.526 -167.8713
2650.000000 82.467 -168.4232
2690.000000 82.385 -169.0898
2720.000000 82.324 -169.5378
2760.000000 82.241 -170.0665
2800.000000 82.159 -170.5180
2850.000000 82.059 -170.9777
2900.000000 81.965 -171.3270
2950.000000 81.877 -171.5744
3000.000000 81.799 -171.7309
3040.000000 81.744 -171.7991
3070.000000 81.708 -171.8217
3110.000000 81.667 -171.8200
3150.000000 81.635 -171.7893
3200.000000 81.606 -171.7216
3250.000000 81.592 -171.6348
3300.000000 81.591 -171.5413
3350.000000 81.603 -171.4520
3400.000000 81.626 -171.3761
3450.000000 81.662 -171.3212
3500.000000 81.708 -171.2946
3550.000000 81.764 -171.3030
3600.000000 81.829 -171.3538
3650.000000 81.903 -171.4540
3700.000000 81.985 -171.6116
3750.000000 82.074 -171.8347
3820.000000 82.207 -172.2726
3870.000000 82.307 -172.6859
3950.000000 82.470 -173.5424
4000.000000 82.571 -174.2101
4060.000000 82.690 -175.1545
4120.000000 82.802 -176.2612
4180.000000 82.905 -177.5329
4250.000000 83.008 -179.2230
4310.000000 83.078 179.1588
4370.000000 83.129 177.3967
4440.000000 83.160 175.1828
4500.000000 83.161 173.1758
4550.000000 83.142 171.4471
4620.000000 83.084 168.9780
4680.000000 83.003 166.8531
4750.000000 82.874 164.4139
4820.000000 82.707 162.0705
4870.000000 82.566 160.4843
4940.000000 82.338 158.4226
5000.000000 82.118 156.8297
5080.000000 81.791 154.9902
5150.000000 81.479 153.6680
5220.000000 81.146 152.6238
5300.000000 80.746 151.7706
5380.000000 80.331 151.2693
5450.000000 79.959 151.1042
5520.000000 79.583 151.1778
5600.000000 79.152 151.5342
5700.000000 78.615 152.3575
5800.000000 78.086 153.5723
