* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410. Timing signal peak level -15.7 dBFS, measurement signal peak level -12.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 19, 2023 9:31:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0384 ms (-13 mm, -0.52 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Linglong L
* Smoothing: 1/6 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 90.025 -51.2040
20.299999 90.013 -53.0697
20.600000 89.993 -54.8975
20.900000 89.968 -56.6901
21.200001 89.938 -58.4506
21.400000 89.916 -59.6075
21.799999 89.868 -61.8818
22.000000 89.842 -62.9988
22.400000 89.788 -65.1904
22.700001 89.747 -66.7957
23.000000 89.704 -68.3683
23.299999 89.662 -69.9106
23.600000 89.621 -71.4263
24.000000 89.565 -73.4114
24.299999 89.522 -74.8764
24.700001 89.464 -76.7985
25.000000 89.418 -78.2140
25.400000 89.353 -80.0610
25.799999 89.286 -81.8566
26.200001 89.217 -83.5989
26.500000 89.165 -84.8723
26.900000 89.096 -86.5300
27.200001 89.045 -87.7468
27.600000 88.978 -89.3381
28.000000 88.911 -90.8970
28.500000 88.828 -92.8026
29.000000 88.746 -94.6612
29.500000 88.664 -96.4727
30.000000 88.582 -98.2369
30.400000 88.518 -99.6143
30.700001 88.470 -100.6276
31.100000 88.407 -101.9524
31.500000 88.346 -103.2482
32.000000 88.270 -104.8283
32.500000 88.196 -106.3668
33.000000 88.123 -107.8657
33.500000 88.051 -109.3259
34.000000 87.980 -110.7478
34.500000 87.908 -112.1323
35.000000 87.837 -113.4808
35.500000 87.767 -114.7952
36.000000 87.695 -116.0774
36.500000 87.624 -117.3286
37.000000 87.552 -118.5502
37.500000 87.480 -119.7437
38.200001 87.380 -121.3710
38.700001 87.308 -122.5046
39.500000 87.192 -124.2710
40.000000 87.120 -125.3453
40.599998 87.034 -126.6041
41.200001 86.947 -127.8300
41.799999 86.862 -129.0229
42.500000 86.763 -130.3724
43.099998 86.680 -131.4919
43.700001 86.597 -132.5768
44.400002 86.504 -133.7993
45.000000 86.426 -134.8123
45.500000 86.362 -135.6340
46.200001 86.275 -136.7544
46.799999 86.203 -137.6911
47.500000 86.120 -138.7609
48.200001 86.037 -139.8086
48.700001 85.978 -140.5430
49.400002 85.894 -141.5496
50.000000 85.821 -142.3899
50.799999 85.724 -143.4761
51.500000 85.640 -144.3954
52.200001 85.556 -145.2883
53.000000 85.461 -146.2802
53.799999 85.368 -147.2440
54.500000 85.286 -148.0649
55.200001 85.205 -148.8646
56.000000 85.114 -149.7526
57.000000 85.000 -150.8260
58.000000 84.888 -151.8639
59.000000 84.776 -152.8699
60.000000 84.666 -153.8450
60.799999 84.578 -154.6014
61.500000 84.502 -155.2447
62.200001 84.426 -155.8696
63.000000 84.340 -156.5612
64.000000 84.235 -157.3935
65.000000 84.133 -158.1956
66.000000 84.032 -158.9727
67.000000 83.933 -159.7274
68.000000 83.836 -160.4608
69.000000 83.739 -161.1732
70.000000 83.643 -161.8649
71.000000 83.548 -162.5352
72.000000 83.454 -163.1824
73.000000 83.361 -163.8046
74.000000 83.270 -164.4028
75.000000 83.180 -164.9791
76.199997 83.075 -165.6466
77.500000 82.964 -166.3449
78.800003 82.855 -167.0198
80.000000 82.755 -167.6224
81.199997 82.657 -168.2056
82.500000 82.552 -168.8149
83.800003 82.448 -169.4011
85.000000 82.354 -169.9222
86.199997 82.262 -170.4246
87.500000 82.164 -170.9486
88.500000 82.091 -171.3378
90.000000 81.983 -171.9000
91.199997 81.898 -172.3322
92.500000 81.809 -172.7838
93.800003 81.721 -173.2192
95.000000 81.642 -173.6073
96.199997 81.564 -173.9823
97.500000 81.482 -174.3738
98.800003 81.401 -174.7510
100.000000 81.327 -175.0873
101.500000 81.238 -175.4933
103.000000 81.150 -175.8844
104.400002 81.069 -176.2364
106.000000 80.979 -176.6229
107.500000 80.897 -176.9697
109.000000 80.816 -177.3011
110.599998 80.731 -177.6382
112.000000 80.659 -177.9200
113.800003 80.569 -178.2662
115.000000 80.511 -178.4874
117.199997 80.407 -178.8742
118.000000 80.371 -179.0088
120.599998 80.256 -179.4258
122.000000 80.197 -179.6387
124.099998 80.111 -179.9463
125.000000 80.074 179.9254
126.500000 80.015 179.7148
128.000000 79.957 179.5088
131.500000 79.824 179.0477
132.000000 79.806 178.9844
134.000000 79.732 178.7387
136.000000 79.660 178.5050
138.000000 79.589 178.2838
140.000000 79.520 178.0755
143.000000 79.420 177.7871
145.000000 79.355 177.6101
147.500000 79.276 177.4047
150.000000 79.200 177.2157
152.500000 79.126 177.0413
155.000000 79.055 176.8793
157.500000 78.987 176.7272
160.000000 78.922 176.5823
162.500000 78.858 176.4420
165.000000 78.797 176.3050
167.500000 78.737 176.1710
170.000000 78.678 176.0411
172.500000 78.620 175.9167
175.000000 78.563 175.7998
177.500000 78.507 175.6915
180.000000 78.452 175.5927
182.500000 78.398 175.5027
185.000000 78.345 175.4211
187.500000 78.293 175.3467
190.000000 78.243 175.2791
192.500000 78.193 175.2178
195.000000 78.146 175.1626
197.500000 78.099 175.1129
200.000000 78.053 175.0681
203.000000 78.000 175.0201
206.000000 77.949 174.9781
209.000000 77.899 174.9421
212.000000 77.850 174.9124
214.000000 77.818 174.8959
218.000000 77.756 174.8708
220.000000 77.725 174.8620
224.000000 77.666 174.8510
227.000000 77.623 174.8483
230.000000 77.581 174.8498
233.000000 77.540 174.8553
236.000000 77.500 174.8644
240.000000 77.449 174.8820
243.000000 77.412 174.8990
247.000000 77.364 174.9270
250.000000 77.329 174.9517
254.000000 77.283 174.9894
258.000000 77.239 175.0321
262.000000 77.197 175.0792
265.000000 77.166 175.1171
269.000000 77.126 175.1710
272.000000 77.097 175.2138
276.000000 77.059 175.2743
280.000000 77.022 175.3386
285.000000 76.978 175.4237
290.000000 76.936 175.5131
295.000000 76.896 175.6061
300.000000 76.857 175.7029
304.000000 76.827 175.7834
307.000000 76.806 175.8458
311.000000 76.778 175.9315
315.000000 76.751 176.0198
320.000000 76.718 176.1334
325.000000 76.687 176.2500
330.000000 76.657 176.3693
335.000000 76.628 176.4913
340.000000 76.600 176.6157
345.000000 76.573 176.7423
350.000000 76.548 176.8712
355.000000 76.523 177.0023
360.000000 76.499 177.1356
365.000000 76.477 177.2707
370.000000 76.455 177.4076
375.000000 76.435 177.5460
382.000000 76.407 177.7418
387.000000 76.389 177.8832
395.000000 76.360 178.1130
400.000000 76.343 178.2593
406.000000 76.324 178.4383
412.000000 76.305 178.6212
418.000000 76.288 178.8087
425.000000 76.268 179.0337
431.000000 76.251 179.2333
437.000000 76.236 179.4410
444.000000 76.218 179.6957
450.000000 76.205 179.9268
455.000000 76.194 -179.8702
462.000000 76.183 -179.5690
468.000000 76.176 -179.2958
475.000000 76.173 -178.9636
482.000000 76.177 -178.6264
487.000000 76.184 -178.3906
494.000000 76.200 -178.0810
500.000000 76.218 -177.8456
508.000000 76.246 -177.5864
515.000000 76.269 -177.4111
522.000000 76.290 -177.2740
530.000000 76.309 -177.1455
538.000000 76.322 -177.0266
545.000000 76.330 -176.9178
552.000000 76.336 -176.7984
560.000000 76.340 -176.6458
570.000000 76.345 -176.4315
580.000000 76.351 -176.1949
590.000000 76.357 -175.9417
600.000000 76.366 -175.6765
608.000000 76.374 -175.4584
615.000000 76.382 -175.2642
622.000000 76.391 -175.0677
630.000000 76.403 -174.8409
640.000000 76.419 -174.5549
650.000000 76.436 -174.2673
660.000000 76.455 -173.9788
670.000000 76.475 -173.6905
680.000000 76.497 -173.4026
690.000000 76.520 -173.1154
700.000000 76.544 -172.8287
710.000000 76.569 -172.5424
720.000000 76.595 -172.2562
730.000000 76.622 -171.9703
740.000000 76.649 -171.6843
750.000000 76.677 -171.3976
762.000000 76.710 -171.0508
775.000000 76.747 -170.6663
788.000000 76.783 -170.2626
800.000000 76.817 -169.8592
812.000000 76.854 -169.4113
825.000000 76.903 -168.8674
838.000000 76.967 -168.2817
850.000000 77.044 -167.7584
862.000000 77.133 -167.3163
875.000000 77.233 -166.9638
885.000000 77.304 -166.7676
900.000000 77.399 -166.5341
912.000000 77.465 -166.3549
925.000000 77.531 -166.1420
938.000000 77.595 -165.9023
950.000000 77.653 -165.6593
962.000000 77.712 -165.4000
975.000000 77.777 -165.1061
988.000000 77.844 -164.8033
1000.000000 77.908 -164.5191
1015.000000 77.989 -164.1601
1030.000000 78.073 -163.7993
1044.000000 78.155 -163.4623
1060.000000 78.251 -163.0782
1075.000000 78.346 -162.7202
1090.000000 78.445 -162.3645
1106.000000 78.556 -161.9884
1120.000000 78.657 -161.6628
1138.000000 78.793 -161.2499
1150.000000 78.887 -160.9785
1172.000000 79.064 -160.4895
1180.000000 79.130 -160.3146
1206.000000 79.347 -159.7572
1220.000000 79.464 -159.4644
1241.000000 79.640 -159.0350
1250.000000 79.715 -158.8549
1265.000000 79.840 -158.5598
1280.000000 79.965 -158.2714
1315.000000 80.251 -157.6245
1320.000000 80.291 -157.5352
1340.000000 80.452 -157.1856
1360.000000 80.611 -156.8490
1380.000000 80.768 -156.5259
1400.000000 80.923 -156.2170
1430.000000 81.153 -155.7812
1450.000000 81.305 -155.5099
1475.000000 81.495 -155.1938
1500.000000 81.683 -154.9044
1525.000000 81.872 -154.6434
1550.000000 82.061 -154.4122
1575.000000 82.251 -154.2124
1600.000000 82.441 -154.0456
1625.000000 82.632 -153.9134
1650.000000 82.824 -153.8179
1675.000000 83.016 -153.7608
1700.000000 83.209 -153.7441
1725.000000 83.403 -153.7700
1750.000000 83.598 -153.8405
1775.000000 83.793 -153.9576
1800.000000 83.989 -154.1236
1825.000000 84.184 -154.3405
1850.000000 84.380 -154.6106
1875.000000 84.576 -154.9359
1900.000000 84.771 -155.3183
1925.000000 84.966 -155.7598
1950.000000 85.159 -156.2621
1975.000000 85.352 -156.8268
2000.000000 85.542 -157.4554
2030.000000 85.766 -158.2953
2060.000000 85.985 -159.2299
2090.000000 86.197 -160.2589
2120.000000 86.399 -161.3813
2140.000000 86.529 -162.1803
2180.000000 86.771 -163.8946
2200.000000 86.883 -164.8068
2240.000000 87.086 -166.7306
2270.000000 87.219 -168.2508
2300.000000 87.335 -169.8264
2330.000000 87.432 -171.4465
2360.000000 87.511 -173.0990
2400.000000 87.586 -175.3309
2430.000000 87.620 -177.0093
2470.000000 87.636 -179.2283
2500.000000 87.627 179.1379
2540.000000 87.587 177.0226
2580.000000 87.519 175.0024
2620.000000 87.424 173.0986
2650.000000 87.337 171.7582
2690.000000 87.203 170.0986
2720.000000 87.090 168.9557
2760.000000 86.927 167.5740
2800.000000 86.751 166.3596
2850.000000 86.519 165.0802
2900.000000 86.278 164.0644
2950.000000 86.033 163.3029
3000.000000 85.790 162.7762
3040.000000 85.600 162.5039
3070.000000 85.461 162.3731
3110.000000 85.283 162.2767
3150.000000 85.112 162.2462
3200.000000 84.909 162.2646
3250.000000 84.715 162.3154
3300.000000 84.526 162.3844
3350.000000 84.338 162.4745
3400.000000 84.150 162.5985
3450.000000 83.961 162.7696
3500.000000 83.774 162.9970
3550.000000 83.590 163.2834
3600.000000 83.412 163.6259
3650.000000 83.240 164.0176
3700.000000 83.076 164.4499
3750.000000 82.921 164.9127
3820.000000 82.719 165.5928
3870.000000 82.585 166.0891
3950.000000 82.388 166.8784
4000.000000 82.274 167.3583
4060.000000 82.145 167.9122
4120.000000 82.024 168.4369
4180.000000 81.909 168.9300
4250.000000 81.780 169.4659
4310.000000 81.673 169.8943
4370.000000 81.568 170.2982
4440.000000 81.446 170.7445
4500.000000 81.343 171.1122
4550.000000 81.257 171.4135
4620.000000 81.139 171.8371
4680.000000 81.040 172.2108
4750.000000 80.931 172.6676
4820.000000 80.833 173.1489
4870.000000 80.771 173.5046
4940.000000 80.698 174.0099
5000.000000 80.650 174.4396
5080.000000 80.607 174.9913
