* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410. Timing signal peak level -61.4 dBFS, measurement signal peak level -11.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 19, 2023 9:29:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.1964 ms (-67 mm, -2.65 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset Clock adjustment: -0.5 ppm
* Measurement: Linglong R
* Smoothing: 1/6 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 90.988 -56.0968
20.299999 90.967 -57.9166
20.600000 90.938 -59.7036
20.900000 90.904 -61.4604
21.200001 90.865 -63.1885
21.400000 90.836 -64.3245
21.799999 90.773 -66.5572
22.000000 90.739 -67.6531
22.400000 90.669 -69.8021
22.700001 90.615 -71.3760
23.000000 90.561 -72.9177
23.299999 90.505 -74.4280
23.600000 90.449 -75.9073
24.000000 90.374 -77.8321
24.299999 90.318 -79.2402
24.700001 90.243 -81.0719
25.000000 90.186 -82.4133
25.400000 90.112 -84.1633
25.799999 90.038 -85.8751
26.200001 89.965 -87.5532
26.500000 89.910 -88.7905
26.900000 89.836 -90.4113
27.200001 89.780 -91.6035
27.600000 89.706 -93.1608
28.000000 89.631 -94.6810
28.500000 89.538 -96.5308
29.000000 89.446 -98.3278
29.500000 89.354 -100.0740
30.000000 89.263 -101.7703
30.400000 89.192 -103.0920
30.700001 89.139 -104.0634
31.100000 89.069 -105.3330
31.500000 89.000 -106.5748
32.000000 88.916 -108.0898
32.500000 88.833 -109.5654
33.000000 88.752 -111.0032
33.500000 88.673 -112.4042
34.000000 88.594 -113.7699
34.500000 88.516 -115.1015
35.000000 88.438 -116.4001
35.500000 88.361 -117.6666
36.000000 88.284 -118.9017
36.500000 88.207 -120.1058
37.000000 88.129 -121.2797
37.500000 88.052 -122.4241
38.200001 87.944 -123.9790
38.700001 87.867 -125.0571
39.500000 87.744 -126.7285
40.000000 87.668 -127.7410
40.599998 87.575 -128.9244
41.200001 87.484 -130.0741
41.799999 87.393 -131.1910
42.500000 87.287 -132.4539
43.099998 87.198 -133.5039
43.700001 87.111 -134.5261
44.400002 87.011 -135.6854
45.000000 86.927 -136.6522
45.500000 86.858 -137.4393
46.200001 86.763 -138.5131
46.799999 86.683 -139.4072
47.500000 86.591 -140.4202
48.200001 86.500 -141.4021
48.700001 86.436 -142.0856
49.400002 86.348 -143.0187
50.000000 86.273 -143.7977
50.799999 86.174 -144.8076
51.500000 86.088 -145.6647
52.200001 86.002 -146.4973
53.000000 85.905 -147.4192
53.799999 85.809 -148.3103
54.500000 85.725 -149.0664
55.200001 85.642 -149.8024
56.000000 85.547 -150.6218
57.000000 85.430 -151.6176
58.000000 85.314 -152.5851
59.000000 85.199 -153.5276
60.000000 85.085 -154.4489
60.799999 84.995 -155.1725
61.500000 84.916 -155.7952
62.200001 84.835 -156.4047
63.000000 84.743 -157.0779
64.000000 84.625 -157.8724
65.000000 84.509 -158.6069
66.000000 84.395 -159.2858
67.000000 84.286 -159.9232
68.000000 84.182 -160.5340
69.000000 84.082 -161.1285
70.000000 83.985 -161.7106
71.000000 83.890 -162.2783
72.000000 83.795 -162.8279
73.000000 83.702 -163.3580
74.000000 83.609 -163.8706
75.000000 83.517 -164.3691
76.199997 83.408 -164.9523
77.500000 83.291 -165.5648
78.800003 83.176 -166.1539
80.000000 83.072 -166.6744
81.199997 82.971 -167.1700
82.500000 82.865 -167.6792
83.800003 82.762 -168.1642
85.000000 82.668 -168.5957
86.199997 82.575 -169.0145
87.500000 82.475 -169.4560
88.500000 82.399 -169.7880
90.000000 82.286 -170.2723
91.199997 82.198 -170.6451
92.500000 82.105 -171.0321
93.800003 82.014 -171.4004
95.000000 81.932 -171.7235
96.199997 81.851 -172.0308
97.500000 81.766 -172.3469
98.800003 81.682 -172.6479
100.000000 81.606 -172.9144
101.500000 81.513 -173.2340
103.000000 81.421 -173.5391
104.400002 81.337 -173.8106
106.000000 81.243 -174.1056
107.500000 81.157 -174.3674
109.000000 81.073 -174.6155
110.599998 80.985 -174.8656
112.000000 80.910 -175.0718
113.800003 80.815 -175.3201
115.000000 80.754 -175.4756
117.199997 80.643 -175.7426
118.000000 80.604 -175.8341
120.599998 80.479 -176.1140
122.000000 80.414 -176.2541
124.099998 80.318 -176.4514
125.000000 80.278 -176.5311
126.500000 80.212 -176.6577
128.000000 80.147 -176.7761
131.500000 80.000 -177.0205
132.000000 79.979 -177.0519
134.000000 79.899 -177.1697
136.000000 79.821 -177.2751
138.000000 79.744 -177.3688
140.000000 79.670 -177.4509
143.000000 79.561 -177.5529
145.000000 79.491 -177.6075
147.500000 79.405 -177.6620
150.000000 79.322 -177.7018
152.500000 79.243 -177.7284
155.000000 79.165 -177.7431
157.500000 79.090 -177.7485
160.000000 79.017 -177.7469
162.500000 78.946 -177.7395
165.000000 78.877 -177.7262
167.500000 78.809 -177.7061
170.000000 78.743 -177.6782
172.500000 78.678 -177.6419
175.000000 78.615 -177.5976
177.500000 78.553 -177.5452
180.000000 78.492 -177.4850
182.500000 78.432 -177.4172
185.000000 78.374 -177.3420
187.500000 78.317 -177.2605
190.000000 78.261 -177.1729
192.500000 78.207 -177.0796
195.000000 78.154 -176.9809
197.500000 78.102 -176.8770
200.000000 78.051 -176.7681
203.000000 77.992 -176.6310
206.000000 77.934 -176.4869
209.000000 77.877 -176.3359
212.000000 77.822 -176.1782
214.000000 77.786 -176.0696
218.000000 77.716 -175.8453
220.000000 77.682 -175.7300
224.000000 77.615 -175.4943
227.000000 77.567 -175.3132
230.000000 77.519 -175.1285
233.000000 77.473 -174.9400
236.000000 77.428 -174.7473
240.000000 77.370 -174.4837
243.000000 77.327 -174.2807
247.000000 77.272 -174.0035
250.000000 77.231 -173.7909
254.000000 77.179 -173.5021
258.000000 77.128 -173.2084
262.000000 77.079 -172.9106
265.000000 77.043 -172.6848
269.000000 76.996 -172.3800
272.000000 76.962 -172.1485
276.000000 76.918 -171.8359
280.000000 76.875 -171.5190
285.000000 76.823 -171.1176
290.000000 76.774 -170.7109
295.000000 76.725 -170.2995
300.000000 76.679 -169.8837
304.000000 76.643 -169.5476
307.000000 76.617 -169.2937
311.000000 76.583 -168.9526
315.000000 76.549 -168.6088
320.000000 76.509 -168.1754
325.000000 76.470 -167.7381
330.000000 76.433 -167.2973
335.000000 76.396 -166.8535
340.000000 76.361 -166.4067
345.000000 76.327 -165.9567
350.000000 76.294 -165.5029
355.000000 76.261 -165.0447
360.000000 76.230 -164.5817
365.000000 76.199 -164.1131
370.000000 76.169 -163.6378
375.000000 76.140 -163.1547
382.000000 76.099 -162.4625
387.000000 76.071 -161.9542
395.000000 76.029 -161.1102
400.000000 76.005 -160.5605
406.000000 75.979 -159.8765
412.000000 75.959 -159.1672
418.000000 75.945 -158.4379
425.000000 75.940 -157.5768
431.000000 75.946 -156.8489
437.000000 75.960 -156.1516
444.000000 75.986 -155.4007
450.000000 76.011 -154.8229
455.000000 76.032 -154.3889
462.000000 76.058 -153.8433
468.000000 76.075 -153.4175
475.000000 76.087 -152.9465
482.000000 76.093 -152.4814
487.000000 76.093 -152.1432
494.000000 76.089 -151.6532
500.000000 76.084 -151.2149
508.000000 76.075 -150.6037
515.000000 76.067 -150.0462
522.000000 76.060 -149.4711
530.000000 76.053 -148.7969
538.000000 76.047 -148.1088
545.000000 76.044 -147.4982
552.000000 76.042 -146.8817
560.000000 76.041 -146.1713
570.000000 76.043 -145.2771
580.000000 76.048 -144.3783
590.000000 76.055 -143.4766
600.000000 76.064 -142.5732
608.000000 76.073 -141.8500
615.000000 76.082 -141.2172
622.000000 76.092 -140.5844
630.000000 76.104 -139.8615
640.000000 76.122 -138.9586
650.000000 76.141 -138.0577
660.000000 76.162 -137.1591
670.000000 76.186 -136.2635
680.000000 76.211 -135.3713
690.000000 76.237 -134.4836
700.000000 76.265 -133.6012
710.000000 76.295 -132.7250
720.000000 76.326 -131.8556
730.000000 76.358 -130.9929
740.000000 76.390 -130.1367
750.000000 76.423 -129.2864
762.000000 76.463 -128.2739
775.000000 76.506 -127.1904
788.000000 76.546 -126.1223
800.000000 76.576 -125.1329
812.000000 76.599 -124.1024
825.000000 76.622 -122.9034
838.000000 76.654 -121.6284
850.000000 76.696 -120.4259
862.000000 76.748 -119.2357
875.000000 76.813 -117.9799
885.000000 76.867 -117.0397
900.000000 76.950 -115.6642
912.000000 77.018 -114.5858
925.000000 77.092 -113.4317
938.000000 77.167 -112.2877
950.000000 77.237 -111.2380
962.000000 77.308 -110.1930
975.000000 77.385 -109.0656
988.000000 77.464 -107.9424
1000.000000 77.538 -106.9094
1015.000000 77.631 -105.6232
1030.000000 77.727 -104.3426
1044.000000 77.819 -103.1527
1060.000000 77.927 -101.7990
1075.000000 78.032 -100.5360
1090.000000 78.141 -99.2787
1106.000000 78.262 -97.9440
1120.000000 78.372 -96.7816
1138.000000 78.518 -95.2949
1150.000000 78.619 -94.3087
1172.000000 78.809 -92.5107
1180.000000 78.879 -91.8602
1206.000000 79.110 -89.7584
1220.000000 79.236 -88.6348
1241.000000 79.424 -86.9604
1250.000000 79.505 -86.2469
1265.000000 79.639 -85.0634
1280.000000 79.772 -83.8868
1315.000000 80.079 -81.1702
1320.000000 80.123 -80.7854
1340.000000 80.296 -79.2555
1360.000000 80.467 -77.7400
1380.000000 80.637 -76.2394
1400.000000 80.806 -74.7543
1430.000000 81.057 -72.5575
1450.000000 81.223 -71.1145
1475.000000 81.431 -69.3363
1500.000000 81.638 -67.5874
1525.000000 81.846 -65.8694
1550.000000 82.055 -64.1838
1575.000000 82.265 -62.5327
1600.000000 82.477 -60.9181
1625.000000 82.690 -59.3419
1650.000000 82.905 -57.8067
1675.000000 83.121 -56.3148
1700.000000 83.339 -54.8689
1725.000000 83.558 -53.4713
1750.000000 83.779 -52.1247
1775.000000 84.001 -50.8318
1800.000000 84.225 -49.5954
1825.000000 84.449 -48.4185
1850.000000 84.674 -47.3038
1875.000000 84.899 -46.2545
1900.000000 85.124 -45.2732
1925.000000 85.350 -44.3629
1950.000000 85.574 -43.5262
1975.000000 85.797 -42.7655
2000.000000 86.018 -42.0828
2030.000000 86.279 -41.3687
2060.000000 86.533 -40.7711
2090.000000 86.779 -40.2905
2120.000000 87.013 -39.9262
2140.000000 87.163 -39.7467
2180.000000 87.443 -39.5336
2200.000000 87.571 -39.4962
2240.000000 87.804 -39.5464
2270.000000 87.955 -39.6804
2300.000000 88.084 -39.8821
2330.000000 88.191 -40.1366
2360.000000 88.274 -40.4274
2400.000000 88.349 -40.8418
2430.000000 88.378 -41.1500
2470.000000 88.382 -41.5247
2500.000000 88.359 -41.7576
2540.000000 88.297 -41.9762
2580.000000 88.201 -42.0626
2620.000000 88.076 -41.9929
2650.000000 87.965 -41.8273
2690.000000 87.798 -41.4453
2720.000000 87.660 -41.0337
2760.000000 87.463 -40.3151
2800.000000 87.254 -39.4022
2850.000000 86.981 -37.9916
2900.000000 86.701 -36.2905
2950.000000 86.417 -34.3122
3000.000000 86.136 -32.0740
3040.000000 85.914 -30.1121
3070.000000 85.752 -28.5510
3110.000000 85.543 -26.3659
3150.000000 85.344 -24.0844
3200.000000 85.110 -21.1370
3250.000000 84.893 -18.1310
3300.000000 84.691 -15.1067
3350.000000 84.500 -12.0853
3400.000000 84.314 -9.0690
3450.000000 84.132 -6.0469
3500.000000 83.953 -3.0050
3550.000000 83.776 0.0684
3600.000000 83.603 3.1785
3650.000000 83.435 6.3254
3700.000000 83.273 9.5049
3750.000000 83.119 12.7098
3820.000000 82.917 17.2244
3870.000000 82.781 20.4576
3950.000000 82.580 25.6249
4000.000000 82.464 28.8407
4060.000000 82.331 32.6768
4120.000000 82.207 36.4812
4180.000000 82.088 40.2491
4250.000000 81.956 44.5946
4310.000000 81.846 48.2755
4370.000000 81.737 51.9171
4440.000000 81.611 56.1200
4500.000000 81.501 59.6900
