* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410. Timing signal peak level -8.5 dBFS, measurement signal peak level -8.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 19, 2023 9:23:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0.0258 ms (8.9 mm, 0.35 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Ola Bass L
* Smoothing: 1/6 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 83.352 -17.3866
20.299999 83.397 -19.2104
20.600000 83.432 -21.0062
20.900000 83.458 -22.7695
21.200001 83.478 -24.4971
21.400000 83.489 -25.6284
21.799999 83.509 -27.8450
22.000000 83.518 -28.9331
22.400000 83.539 -31.0779
22.700001 83.556 -32.6683
23.000000 83.574 -34.2512
23.299999 83.592 -35.8290
23.600000 83.607 -37.3983
24.000000 83.622 -39.4631
24.299999 83.628 -40.9732
24.700001 83.629 -42.9099
25.000000 83.627 -44.2916
25.400000 83.625 -46.0352
25.799999 83.629 -47.6826
26.200001 83.639 -49.2690
26.500000 83.651 -50.4425
26.900000 83.670 -52.0068
27.200001 83.683 -53.1851
27.600000 83.696 -54.7556
28.000000 83.701 -56.3045
28.500000 83.697 -58.1767
29.000000 83.688 -59.9617
29.500000 83.680 -61.6741
30.000000 83.674 -63.3440
30.400000 83.670 -64.6640
30.700001 83.668 -65.6471
31.100000 83.664 -66.9471
31.500000 83.660 -68.2324
32.000000 83.656 -69.8164
32.500000 83.652 -71.3756
33.000000 83.649 -72.9101
33.500000 83.647 -74.4167
34.000000 83.644 -75.8913
34.500000 83.641 -77.3320
35.000000 83.639 -78.7397
35.500000 83.636 -80.1165
36.000000 83.632 -81.4622
36.500000 83.627 -82.7747
37.000000 83.620 -84.0520
37.500000 83.611 -85.2943
38.200001 83.598 -86.9802
38.700001 83.588 -88.1524
39.500000 83.570 -89.9826
40.000000 83.558 -91.1022
40.599998 83.541 -92.4236
41.200001 83.524 -93.7232
41.799999 83.504 -95.0021
42.500000 83.481 -96.4679
43.099998 83.460 -97.7004
43.700001 83.438 -98.9093
44.400002 83.414 -100.2881
45.000000 83.394 -101.4419
45.500000 83.378 -102.3839
46.200001 83.357 -103.6737
46.799999 83.340 -104.7531
47.500000 83.322 -105.9825
48.200001 83.303 -107.1794
48.700001 83.290 -108.0144
49.400002 83.270 -109.1564
50.000000 83.251 -110.1113
50.799999 83.223 -111.3510
51.500000 83.196 -112.4037
52.200001 83.166 -113.4268
53.000000 83.130 -114.5625
53.799999 83.094 -115.6658
54.500000 83.063 -116.6069
55.200001 83.035 -117.5291
56.000000 83.006 -118.5683
57.000000 82.977 -119.8608
58.000000 82.952 -121.1500
59.000000 82.925 -122.4150
60.000000 82.897 -123.6280
60.799999 82.873 -124.5517
61.500000 82.852 -125.3289
62.200001 82.831 -126.0853
63.000000 82.807 -126.9377
64.000000 82.773 -128.0011
65.000000 82.734 -129.0643
66.000000 82.688 -130.1177
67.000000 82.638 -131.1531
68.000000 82.585 -132.1669
69.000000 82.532 -133.1572
70.000000 82.479 -134.1223
71.000000 82.428 -135.0607
72.000000 82.379 -135.9731
73.000000 82.332 -136.8603
74.000000 82.287 -137.7217
75.000000 82.243 -138.5551
76.199997 82.193 -139.5147
77.500000 82.141 -140.5056
78.800003 82.091 -141.4571
80.000000 82.046 -142.3122
81.199997 82.002 -143.1509
82.500000 81.952 -144.0406
83.800003 81.901 -144.9081
85.000000 81.853 -145.6882
86.199997 81.806 -146.4494
87.500000 81.756 -147.2551
88.500000 81.719 -147.8624
90.000000 81.664 -148.7525
91.199997 81.621 -149.4456
92.500000 81.575 -150.1789
93.800003 81.528 -150.8964
95.000000 81.484 -151.5467
96.199997 81.440 -152.1856
97.500000 81.392 -152.8646
98.800003 81.345 -153.5295
100.000000 81.302 -154.1305
101.500000 81.249 -154.8642
103.000000 81.198 -155.5769
104.400002 81.151 -156.2235
106.000000 81.099 -156.9426
107.500000 81.050 -157.6002
109.000000 81.002 -158.2430
110.599998 80.950 -158.9122
112.000000 80.904 -159.4840
113.800003 80.845 -160.2017
115.000000 80.805 -160.6703
117.199997 80.735 -161.5074
118.000000 80.710 -161.8029
120.599998 80.632 -162.7197
122.000000 80.594 -163.1846
124.099998 80.539 -163.8511
125.000000 80.515 -164.1278
126.500000 80.477 -164.5798
128.000000 80.437 -165.0219
131.500000 80.345 -166.0192
132.000000 80.332 -166.1580
134.000000 80.280 -166.7044
136.000000 80.228 -167.2371
138.000000 80.178 -167.7558
140.000000 80.129 -168.2598
143.000000 80.058 -168.9864
145.000000 80.011 -169.4500
147.500000 79.955 -170.0068
150.000000 79.900 -170.5405
152.500000 79.847 -171.0527
155.000000 79.794 -171.5458
157.500000 79.743 -172.0231
160.000000 79.692 -172.4869
162.500000 79.642 -172.9391
165.000000 79.593 -173.3812
167.500000 79.546 -173.8149
170.000000 79.499 -174.2412
172.500000 79.453 -174.6595
175.000000 79.407 -175.0687
177.500000 79.362 -175.4674
180.000000 79.318 -175.8543
182.500000 79.274 -176.2274
185.000000 79.230 -176.5850
187.500000 79.186 -176.9258
190.000000 79.143 -177.2503
192.500000 79.100 -177.5606
195.000000 79.057 -177.8604
197.500000 79.015 -178.1529
200.000000 78.974 -178.4398
203.000000 78.925 -178.7773
206.000000 78.877 -179.1069
209.000000 78.831 -179.4273
212.000000 78.785 -179.7372
214.000000 78.754 -179.9374
218.000000 78.695 179.6769
220.000000 78.666 179.4911
224.000000 78.608 179.1331
227.000000 78.566 178.8761
230.000000 78.523 178.6292
233.000000 78.482 178.3919
236.000000 78.440 178.1638
240.000000 78.386 177.8732
243.000000 78.346 177.6650
247.000000 78.293 177.4001
250.000000 78.254 177.2111
254.000000 78.202 176.9722
258.000000 78.150 176.7495
262.000000 78.099 176.5441
265.000000 78.061 176.4023
269.000000 78.011 176.2303
272.000000 77.974 176.1146
276.000000 77.926 175.9787
280.000000 77.880 175.8641
285.000000 77.825 175.7507
290.000000 77.775 175.6684
295.000000 77.730 175.6108
300.000000 77.691 175.5676
304.000000 77.665 175.5353
307.000000 77.647 175.5089
311.000000 77.627 175.4667
315.000000 77.610 175.4136
320.000000 77.591 175.3288
325.000000 77.573 175.2233
330.000000 77.556 175.0999
335.000000 77.538 174.9633
340.000000 77.519 174.8186
345.000000 77.498 174.6707
350.000000 77.477 174.5239
355.000000 77.454 174.3820
360.000000 77.431 174.2480
365.000000 77.407 174.1237
370.000000 77.383 174.0102
375.000000 77.359 173.9073
382.000000 77.326 173.7802
387.000000 77.303 173.7004
395.000000 77.268 173.5893
400.000000 77.248 173.5286
406.000000 77.224 173.4634
412.000000 77.203 173.4055
418.000000 77.182 173.3539
425.000000 77.160 173.3004
431.000000 77.143 173.2596
437.000000 77.127 173.2227
444.000000 77.109 173.1838
450.000000 77.095 173.1537
455.000000 77.084 173.1302
462.000000 77.070 173.0995
468.000000 77.059 173.0750
475.000000 77.048 173.0482
482.000000 77.037 173.0231
487.000000 77.030 173.0062
494.000000 77.020 172.9839
500.000000 77.013 172.9660
508.000000 77.004 172.9444
515.000000 76.996 172.9278
522.000000 76.990 172.9140
530.000000 76.983 172.9022
538.000000 76.977 172.8948
545.000000 76.973 172.8920
552.000000 76.969 172.8924
560.000000 76.966 172.8972
570.000000 76.963 172.9096
580.000000 76.961 172.9282
590.000000 76.962 172.9517
600.000000 76.963 172.9790
608.000000 76.966 173.0034
615.000000 76.969 173.0263
622.000000 76.973 173.0506
630.000000 76.979 173.0795
640.000000 76.988 173.1175
650.000000 76.998 173.1572
660.000000 77.009 173.1991
670.000000 77.022 173.2429
680.000000 77.035 173.2882
690.000000 77.050 173.3352
700.000000 77.066 173.3838
710.000000 77.084 173.4343
720.000000 77.102 173.4866
730.000000 77.122 173.5400
740.000000 77.143 173.5941
750.000000 77.166 173.6486
762.000000 77.194 173.7148
775.000000 77.227 173.7879
788.000000 77.262 173.8620
800.000000 77.296 173.9305
812.000000 77.331 173.9988
825.000000 77.371 174.0723
838.000000 77.413 174.1458
850.000000 77.453 174.2138
862.000000 77.494 174.2817
875.000000 77.541 174.3548
885.000000 77.577 174.4105
900.000000 77.634 174.4933
912.000000 77.681 174.5593
925.000000 77.733 174.6305
938.000000 77.787 174.7011
950.000000 77.837 174.7656
962.000000 77.889 174.8294
975.000000 77.946 174.8978
988.000000 78.005 174.9652
1000.000000 78.059 175.0262
1015.000000 78.129 175.1000
1030.000000 78.201 175.1708
1044.000000 78.271 175.2341
1060.000000 78.353 175.3035
1075.000000 78.433 175.3658
1090.000000 78.517 175.4254
1106.000000 78.610 175.4866
1120.000000 78.694 175.5385
1138.000000 78.808 175.6046
1150.000000 78.886 175.6490
1172.000000 79.034 175.7330
1180.000000 79.089 175.7646
1206.000000 79.271 175.8700
1220.000000 79.370 175.9263
1241.000000 79.520 176.0058
1250.000000 79.584 176.0371
1265.000000 79.690 176.0853
1280.000000 79.795 176.1292
1315.000000 80.035 176.2218
1320.000000 80.069 176.2344
1340.000000 80.203 176.2820
1360.000000 80.337 176.3229
1380.000000 80.469 176.3526
1400.000000 80.600 176.3678
1430.000000 80.794 176.3615
1450.000000 80.920 176.3390
1475.000000 81.076 176.2925
1500.000000 81.231 176.2275
1525.000000 81.384 176.1452
1550.000000 81.536 176.0458
1575.000000 81.688 175.9289
1600.000000 81.840 175.7933
1625.000000 81.993 175.6375
1650.000000 82.146 175.4597
1675.000000 82.299 175.2584
1700.000000 82.453 175.0317
1725.000000 82.608 174.7778
1750.000000 82.763 174.4953
1775.000000 82.918 174.1829
1800.000000 83.073 173.8396
1825.000000 83.229 173.4644
1850.000000 83.384 173.0566
1875.000000 83.539 172.6155
1900.000000 83.694 172.1409
1925.000000 83.848 171.6327
1950.000000 84.002 171.0913
1975.000000 84.156 170.5175
2000.000000 84.308 169.9118
2030.000000 84.490 169.1440
2060.000000 84.670 168.3328
2090.000000 84.847 167.4799
2120.000000 85.020 166.5873
2140.000000 85.134 165.9713
2180.000000 85.355 164.6913
2200.000000 85.463 164.0284
2240.000000 85.671 162.6596
2270.000000 85.821 161.5973
2300.000000 85.966 160.5063
2330.000000 86.105 159.3885
2360.000000 86.238 158.2457
2400.000000 86.406 156.6864
2430.000000 86.525 155.4928
2470.000000 86.674 153.8730
2500.000000 86.778 152.6401
2540.000000 86.908 150.9767
2580.000000 87.026 149.2967
2620.000000 87.133 147.6062
2650.000000 87.206 146.3354
2690.000000 87.294 144.6425
2720.000000 87.353 143.3777
2760.000000 87.423 141.7033
2800.000000 87.482 140.0485
2850.000000 87.544 138.0172
2900.000000 87.590 136.0374
2950.000000 87.621 134.1189
3000.000000 87.639 132.2705
3040.000000 87.643 130.8472
3070.000000 87.640 129.8140
3110.000000 87.630 128.4840
3150.000000 87.613 127.2094
3200.000000 87.584 125.6940
3250.000000 87.549 124.2615
3300.000000 87.511 122.9036
3350.000000 87.473 121.6075
3400.000000 87.437 120.3572
3450.000000 87.405 119.1371
3500.000000 87.376 117.9341
3550.000000 87.349 116.7408
3600.000000 87.325 115.5549
3650.000000 87.303 114.3777
3700.000000 87.283 113.2113
3750.000000 87.264 112.0568
3820.000000 87.243 110.4584
3870.000000 87.232 109.3252
3950.000000 87.223 107.5133
4000.000000 87.222 106.3724
4060.000000 87.227 104.9853
4120.000000 87.236 103.5716
4180.000000 87.250 102.1288
4250.000000 87.270 100.4114
4310.000000 87.292 98.9146
4370.000000 87.320 97.3958
4440.000000 87.361 95.5862
4500.000000 87.406 93.9842
4550.000000 87.451 92.5956
4620.000000 87.525 90.5405
4680.000000 87.595 88.6527
4750.000000 87.681 86.2840
4820.000000 87.766 83.7331
4870.000000 87.822 81.8070
4940.000000 87.891 78.9871
5000.000000 87.940 76.4814
5080.000000 87.986 73.0611
5150.000000 88.010 70.0354
5220.000000 88.018 67.0103
5300.000000 88.011 63.5790
5380.000000 87.987 60.1933
5450.000000 87.951 57.2808
