* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (KT USB Audio), MICROPHONE (Master Volume), 0, volume: 0.410. Timing signal peak level -46.7 dBFS, measurement signal peak level -8.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 19, 2023 9:24:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0.0264 ms (9.1 mm, 0.36 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE L with no timing offset
* Measurement: Ola Bass R
* Smoothing: 1/6 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 83.164 -19.7131
20.299999 83.213 -21.4355
20.600000 83.256 -23.1208
20.900000 83.294 -24.7737
21.200001 83.326 -26.3984
21.400000 83.345 -27.4678
21.799999 83.378 -29.5757
22.000000 83.392 -30.6147
22.400000 83.415 -32.6624
22.700001 83.429 -34.1688
23.000000 83.440 -35.6469
23.299999 83.449 -37.0945
23.600000 83.456 -38.5122
24.000000 83.466 -40.3620
24.299999 83.474 -41.7286
24.700001 83.485 -43.5382
25.000000 83.492 -44.8945
25.400000 83.498 -46.7054
25.799999 83.499 -48.5099
26.200001 83.492 -50.2889
26.500000 83.484 -51.5946
26.900000 83.470 -53.2887
27.200001 83.459 -54.5236
27.600000 83.446 -56.1285
28.000000 83.436 -57.6965
28.500000 83.426 -59.6185
29.000000 83.417 -61.5043
29.500000 83.409 -63.3497
30.000000 83.401 -65.1456
30.400000 83.394 -66.5418
30.700001 83.389 -67.5642
31.100000 83.383 -68.8944
31.500000 83.378 -70.1889
32.000000 83.373 -71.7616
32.500000 83.370 -73.2917
33.000000 83.369 -74.7870
33.500000 83.367 -76.2523
34.000000 83.364 -77.6896
34.500000 83.359 -79.0989
35.000000 83.353 -80.4792
35.500000 83.344 -81.8301
36.000000 83.334 -83.1518
36.500000 83.322 -84.4457
37.000000 83.309 -85.7136
37.500000 83.295 -86.9570
38.200001 83.275 -88.6595
38.700001 83.260 -89.8501
39.500000 83.234 -91.7135
40.000000 83.218 -92.8525
40.599998 83.197 -94.1922
41.200001 83.175 -95.5016
41.799999 83.153 -96.7805
42.500000 83.127 -98.2352
43.099998 83.105 -99.4524
43.700001 83.083 -100.6448
44.400002 83.059 -102.0081
45.000000 83.038 -103.1542
45.500000 83.021 -104.0939
46.200001 82.997 -105.3854
46.799999 82.976 -106.4691
47.500000 82.953 -107.7053
48.200001 82.930 -108.9114
48.700001 82.914 -109.7556
49.400002 82.891 -110.9140
50.000000 82.871 -111.8842
50.799999 82.844 -113.1414
51.500000 82.819 -114.2050
52.200001 82.794 -115.2355
53.000000 82.764 -116.3777
53.799999 82.734 -117.4885
54.500000 82.706 -118.4386
55.200001 82.678 -119.3693
56.000000 82.643 -120.4093
57.000000 82.599 -121.6747
58.000000 82.554 -122.9032
59.000000 82.510 -124.1002
60.000000 82.466 -125.2749
60.799999 82.429 -126.2032
61.500000 82.395 -127.0060
62.200001 82.358 -127.7953
63.000000 82.310 -128.6735
64.000000 82.245 -129.7207
65.000000 82.179 -130.7023
66.000000 82.119 -131.6360
67.000000 82.069 -132.5616
68.000000 82.028 -133.5109
69.000000 81.994 -134.4882
70.000000 81.963 -135.4742
71.000000 81.931 -136.4412
72.000000 81.898 -137.3644
73.000000 81.863 -138.2297
74.000000 81.826 -139.0375
75.000000 81.787 -139.7991
76.199997 81.738 -140.6743
77.500000 81.683 -141.6009
78.800003 81.626 -142.5223
80.000000 81.572 -143.3729
81.199997 81.517 -144.2206
82.500000 81.457 -145.1273
83.800003 81.397 -146.0109
85.000000 81.341 -146.7981
86.199997 81.285 -147.5557
87.500000 81.226 -148.3459
88.500000 81.182 -148.9361
90.000000 81.119 -149.7979
91.199997 81.070 -150.4677
92.500000 81.019 -151.1725
93.800003 80.967 -151.8553
95.000000 80.921 -152.4684
96.199997 80.875 -153.0690
97.500000 80.825 -153.7098
98.800003 80.776 -154.3425
100.000000 80.732 -154.9183
101.500000 80.676 -155.6239
103.000000 80.622 -156.3094
104.400002 80.571 -156.9280
106.000000 80.513 -157.6103
107.500000 80.460 -158.2286
109.000000 80.408 -158.8308
110.599998 80.354 -159.4591
112.000000 80.308 -159.9979
113.800003 80.249 -160.6737
115.000000 80.210 -161.1115
117.199997 80.139 -161.8841
118.000000 80.114 -162.1550
120.599998 80.035 -162.9991
122.000000 79.994 -163.4326
124.099998 79.934 -164.0604
125.000000 79.909 -164.3226
126.500000 79.867 -164.7518
128.000000 79.826 -165.1724
131.500000 79.733 -166.1235
132.000000 79.720 -166.2560
134.000000 79.669 -166.7779
136.000000 79.620 -167.2861
138.000000 79.572 -167.7806
140.000000 79.525 -168.2613
143.000000 79.454 -168.9544
145.000000 79.407 -169.3973
147.500000 79.348 -169.9307
150.000000 79.290 -170.4454
152.500000 79.233 -170.9429
155.000000 79.178 -171.4219
157.500000 79.125 -171.8809
160.000000 79.072 -172.3216
162.500000 79.020 -172.7473
165.000000 78.969 -173.1603
167.500000 78.919 -173.5617
170.000000 78.869 -173.9505
172.500000 78.820 -174.3255
175.000000 78.772 -174.6858
177.500000 78.725 -175.0309
180.000000 78.679 -175.3612
182.500000 78.633 -175.6776
185.000000 78.589 -175.9817
187.500000 78.546 -176.2746
190.000000 78.504 -176.5576
192.500000 78.463 -176.8315
195.000000 78.422 -177.0976
197.500000 78.382 -177.3563
200.000000 78.342 -177.6083
203.000000 78.294 -177.9017
206.000000 78.246 -178.1851
209.000000 78.199 -178.4572
212.000000 78.152 -178.7167
214.000000 78.121 -178.8825
218.000000 78.060 -179.1979
220.000000 78.030 -179.3480
224.000000 77.972 -179.6326
227.000000 77.930 -179.8319
230.000000 77.888 179.9808
233.000000 77.847 179.8053
236.000000 77.806 179.6414
240.000000 77.752 179.4417
243.000000 77.712 179.3066
247.000000 77.661 179.1469
250.000000 77.624 179.0422
254.000000 77.577 178.9229
258.000000 77.533 178.8258
262.000000 77.492 178.7488
265.000000 77.465 178.7012
269.000000 77.432 178.6454
272.000000 77.410 178.6052
276.000000 77.385 178.5481
280.000000 77.363 178.4822
285.000000 77.339 178.3834
290.000000 77.318 178.2640
295.000000 77.298 178.1255
300.000000 77.278 177.9718
304.000000 77.261 177.8423
307.000000 77.248 177.7437
311.000000 77.230 177.6122
315.000000 77.212 177.4828
320.000000 77.188 177.3268
325.000000 77.165 177.1789
330.000000 77.141 177.0400
335.000000 77.117 176.9101
340.000000 77.094 176.7883
345.000000 77.071 176.6738
350.000000 77.049 176.5660
355.000000 77.027 176.4642
360.000000 77.006 176.3680
365.000000 76.986 176.2772
370.000000 76.966 176.1918
375.000000 76.947 176.1120
382.000000 76.920 176.0099
387.000000 76.902 175.9438
395.000000 76.874 175.8499
400.000000 76.857 175.7983
406.000000 76.837 175.7430
412.000000 76.819 175.6946
418.000000 76.801 175.6530
425.000000 76.783 175.6127
431.000000 76.767 175.5852
437.000000 76.753 175.5635
444.000000 76.738 175.5448
450.000000 76.726 175.5342
455.000000 76.717 175.5291
462.000000 76.705 175.5275
468.000000 76.696 175.5306
475.000000 76.686 175.5383
482.000000 76.679 175.5493
487.000000 76.674 175.5587
494.000000 76.669 175.5738
500.000000 76.665 175.5885
508.000000 76.662 175.6104
515.000000 76.660 175.6312
522.000000 76.659 175.6533
530.000000 76.660 175.6801
538.000000 76.662 175.7087
545.000000 76.664 175.7347
552.000000 76.668 175.7614
560.000000 76.673 175.7921
570.000000 76.681 175.8304
580.000000 76.690 175.8690
590.000000 76.701 175.9080
600.000000 76.714 175.9472
608.000000 76.725 175.9787
615.000000 76.735 176.0062
622.000000 76.746 176.0340
630.000000 76.758 176.0659
640.000000 76.776 176.1061
650.000000 76.794 176.1462
660.000000 76.813 176.1861
670.000000 76.833 176.2259
680.000000 76.854 176.2666
690.000000 76.876 176.3091
700.000000 76.899 176.3538
710.000000 76.923 176.4001
720.000000 76.948 176.4481
730.000000 76.974 176.4974
740.000000 77.001 176.5480
750.000000 77.030 176.5997
762.000000 77.065 176.6631
775.000000 77.105 176.7325
788.000000 77.147 176.8021
800.000000 77.187 176.8663
812.000000 77.229 176.9305
825.000000 77.276 177.0002
838.000000 77.324 177.0693
850.000000 77.370 177.1330
862.000000 77.417 177.1964
875.000000 77.469 177.2650
885.000000 77.510 177.3174
900.000000 77.574 177.3951
912.000000 77.626 177.4563
925.000000 77.684 177.5217
938.000000 77.743 177.5863
950.000000 77.799 177.6451
962.000000 77.856 177.7028
975.000000 77.918 177.7640
988.000000 77.982 177.8239
1000.000000 78.042 177.8779
1015.000000 78.117 177.9442
1030.000000 78.195 178.0090
1044.000000 78.269 178.0677
1060.000000 78.357 178.1326
1075.000000 78.443 178.1912
1090.000000 78.532 178.2476
1106.000000 78.631 178.3055
1120.000000 78.722 178.3541
1138.000000 78.844 178.4135
1150.000000 78.927 178.4512
1172.000000 79.085 178.5165
1180.000000 79.144 178.5391
1206.000000 79.335 178.6082
1220.000000 79.439 178.6425
1241.000000 79.594 178.6901
1250.000000 79.660 178.7090
1265.000000 79.769 178.7385
1280.000000 79.877 178.7656
1315.000000 80.124 178.8191
1320.000000 80.159 178.8257
1340.000000 80.296 178.8491
1360.000000 80.432 178.8685
1380.000000 80.565 178.8837
1400.000000 80.697 178.8940
1430.000000 80.892 178.8973
1450.000000 81.022 178.8884
1475.000000 81.183 178.8610
1500.000000 81.344 178.8114
1525.000000 81.505 178.7362
1550.000000 81.665 178.6345
1575.000000 81.824 178.5079
1600.000000 81.982 178.3596
1625.000000 82.139 178.1921
1650.000000 82.296 178.0063
1675.000000 82.453 177.8016
1700.000000 82.610 177.5767
1725.000000 82.769 177.3294
1750.000000 82.928 177.0573
1775.000000 83.088 176.7576
1800.000000 83.249 176.4277
1825.000000 83.410 176.0656
1850.000000 83.572 175.6698
1875.000000 83.734 175.2393
1900.000000 83.896 174.7734
1925.000000 84.058 174.2720
1950.000000 84.219 173.7352
1975.000000 84.380 173.1636
2000.000000 84.540 172.5580
2030.000000 84.731 171.7885
2060.000000 84.919 170.9742
2090.000000 85.105 170.1173
2120.000000 85.287 169.2199
2140.000000 85.406 168.6002
2180.000000 85.639 167.3122
2200.000000 85.753 166.6450
2240.000000 85.973 165.2667
2270.000000 86.132 164.1959
2300.000000 86.286 163.0948
2330.000000 86.434 161.9646
2360.000000 86.577 160.8069
2400.000000 86.758 159.2230
2430.000000 86.887 158.0071
2470.000000 87.049 156.3521
2500.000000 87.163 155.0884
2540.000000 87.306 153.3784
2580.000000 87.436 151.6452
2620.000000 87.555 149.8957
2650.000000 87.637 148.5771
2690.000000 87.735 146.8163
2720.000000 87.802 145.4977
2760.000000 87.881 143.7481
2800.000000 87.950 142.0150
2850.000000 88.021 139.8818
2900.000000 88.077 137.7966
2950.000000 88.116 135.7700
3000.000000 88.141 133.8112
3040.000000 88.150 132.2977
3070.000000 88.151 131.1959
3110.000000 88.145 129.7727
3150.000000 88.130 128.4035
3200.000000 88.103 126.7687
3250.000000 88.068 125.2188
3300.000000 88.027 123.7509
3350.000000 87.983 122.3595
3400.000000 87.940 121.0363
3450.000000 87.900 119.7704
3500.000000 87.865 118.5493
3550.000000 87.835 117.3600
3600.000000 87.811 116.1906
3650.000000 87.793 115.0316
3700.000000 87.781 113.8759
3750.000000 87.774 112.7188
3820.000000 87.772 111.0888
3870.000000 87.776 109.9118
3950.000000 87.791 107.9952
4000.000000 87.805 106.7697
4060.000000 87.826 105.2652
4120.000000 87.852 103.7202
4180.000000 87.880 102.1331
4250.000000 87.918 100.2269
4310.000000 87.954 98.5452
4370.000000 87.994 96.8151
4440.000000 88.047 94.7241
4500.000000 88.096 92.8555
4550.000000 88.141 91.2325
4620.000000 88.206 88.8426
4680.000000 88.264 86.6708
4750.000000 88.330 83.9827
4820.000000 88.388 81.1279
4870.000000 88.423 78.9937
4940.000000 88.459 75.8929
5000.000000 88.474 73.1568
5080.000000 88.469 69.4524
5150.000000 88.441 66.2159
5220.000000 88.391 63.0367
5300.000000 88.312 59.5194
5380.000000 88.216 56.1507
